AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover,MAI,BasalArea000,DBHg000,SPH000,StemCount000,StemCount125,StemCount175
21000,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000,10,0.0,3.0,,,0.0,4.7,0.0,0.1,0.9,797.5,797.5,0.0,0.0
21000,20,0.2,8.1,,,10.1,40.7,0.01,3.0,7.1,769.6,769.6,5.1,0.0
21000,30,58.0,13.4,,,78.9,80.9,1.933,15.5,16.0,756.2,756.2,582.0,247.3
21000,40,170.5,18.0,,,197.9,88.6,4.261,29.1,22.2,751.0,751.0,735.1,635.1
21000,50,292.1,22.0,,,328.4,88.8,5.842,39.5,25.9,746.3,746.3,736.6,686.8
21000,60,416.2,25.4,,,461.9,88.3,6.937,48.2,28.8,738.4,738.4,731.2,692.5
21000,70,540.5,28.4,,,596.2,87.9,7.722,56.0,31.2,727.3,727.3,723.2,689.8
21000,80,654.8,31.0,,,721.7,87.4,8.186,62.4,33.3,713.3,713.3,711.3,683.6
21000,90,760.8,33.3,,,840.3,87.0,8.454,67.8,35.2,695.2,695.2,694.2,673.7
21000,100,860.8,35.3,,,955.0,86.5,8.608,72.4,37.0,671.9,671.9,671.3,658.6
21000,110,941.8,37.1,,,1052.6,86.0,8.562,75.6,38.6,645.1,645.1,644.8,636.5
21000,120,1012.1,38.7,,,1139.8,85.6,8.434,78.3,40.1,619.6,619.6,619.5,614.3
21000,130,1082.9,40.2,,,1229.6,85.1,8.33,80.7,41.5,595.6,595.6,595.5,591.1
21000,140,1145.4,41.5,,,1310.8,84.7,8.182,82.8,42.8,573.6,573.6,573.6,569.9
21000,150,1202.1,42.6,,,1389.0,84.2,8.014,84.3,44.0,551.5,551.5,551.4,548.5
21000,160,1252.2,43.7,,,1460.0,83.8,7.827,85.6,45.2,530.9,530.9,530.8,528.5
21000,170,1293.7,44.7,,,1522.1,83.3,7.61,86.6,46.3,512.3,512.3,512.2,510.3
21000,180,1327.2,45.5,,,1575.7,82.9,7.373,87.3,47.3,495.9,495.9,495.9,494.3
21000,190,1357.7,46.4,,,1626.1,82.4,7.146,87.8,48.2,480.6,480.6,480.6,479.2
21000,200,1385.8,47.1,,,1673.8,81.9,6.929,88.3,49.1,466.6,466.6,466.6,465.5
21000,210,1414.4,47.8,,,1722.6,81.5,6.735,88.8,49.9,454.2,454.2,454.2,453.2
21000,220,1439.7,48.4,,,1767.7,81.0,6.544,89.1,50.6,442.5,442.5,442.5,441.7
21000,230,1462.1,49.0,,,1809.5,80.6,6.357,89.4,51.4,431.6,431.6,431.6,430.8
21000,240,1482.0,49.5,,,1848.3,80.1,6.175,89.6,52.1,421.4,421.4,421.4,420.7
21000,250,1498.0,50.0,,,1882.2,79.7,5.992,89.7,52.6,413.2,413.2,413.2,412.5
21000,260,1511.9,50.5,,,1913.6,79.2,5.815,89.7,53.1,405.4,405.4,405.4,404.8
21000,270,1523.8,51.0,,,1942.9,78.8,5.644,89.7,53.6,398.2,398.2,398.2,397.6
21000,280,1534.2,51.4,,,1970.2,78.3,5.479,89.6,54.1,391.2,391.2,391.2,390.7
21000,290,1543.0,51.8,,,1996.1,77.9,5.321,89.5,54.6,384.4,384.4,384.4,383.9
21000,300,1551.0,52.1,,,2020.7,77.4,5.17,89.4,55.0,378.0,378.0,378.0,377.6
21000,310,1559.9,52.5,,,2046.4,76.9,5.032,89.3,55.4,372.6,372.6,372.6,372.2
21000,320,1567.5,52.8,,,2070.6,76.5,4.898,89.2,55.7,367.5,367.5,367.5,367.0
21000,330,1574.1,53.1,,,2093.6,76.0,4.77,89.0,56.1,362.5,362.5,362.5,362.0
21000,340,1579.6,53.4,,,2115.3,75.6,4.646,88.8,56.4,357.7,357.7,357.7,357.2
