BLOCK,DELTA,AGE,TYPE,TREATMENT
1,70,127,MANAGED,CC
1,170,100,MANAGED,CC
1,290,120,MANAGED,CC
2,91,148,MANAGED,CC
2,180,89,MANAGED,CC
2,270,90,MANAGED,CC
3,70,107,MANAGED,CC
3,180,110,MANAGED,CC
3,290,110,MANAGED,CC
4,20,77,MANAGED,CC
4,161,141,MANAGED,CC
4,250,89,MANAGED,CC
5,64,111,MANAGED,CC
5,180,116,MANAGED,CC
5,300,120,MANAGED,CC
6,111,198,MANAGED,CC
6,230,119,MANAGED,CC
8,21,298,MANAGED,CC
8,150,129,MANAGED,CC
8,280,130,MANAGED,CC
9,41,98,MANAGED,CC
9,141,100,MANAGED,CC
9,261,120,MANAGED,CC
10,81,388,MANAGED,CC
10,240,159,MANAGED,CC
11,40,97,MANAGED,CC
11,211,171,MANAGED,CC
12,65,112,MANAGED,CC
12,172,107,MANAGED,CC
12,271,99,MANAGED,CC
13,111,158,MANAGED,CC
13,211,100,MANAGED,CC
15,71,198,MANAGED,CC
15,160,89,MANAGED,CC
15,270,110,MANAGED,CC
16,1,128,MANAGED,CC
16,120,119,MANAGED,CC
16,230,110,MANAGED,CC
17,40,107,MANAGED,CC
17,180,140,MANAGED,CC
17,280,100,MANAGED,CC
18,21,428,MANAGED,CC
18,140,119,MANAGED,CC
18,250,110,MANAGED,CC
19,91,218,MANAGED,CC
19,210,119,MANAGED,CC
20,60,107,MANAGED,CC
20,151,91,MANAGED,CC
20,240,89,MANAGED,CC
21,81,148,MANAGED,CC
21,206,125,MANAGED,CC
22,51,108,MANAGED,CC
22,141,90,MANAGED,CC
22,271,130,MANAGED,CC
23,81,208,MANAGED,CC
23,170,89,MANAGED,CC
25,43,100,MANAGED,CC
25,150,107,MANAGED,CC
25,270,120,MANAGED,CC
26,30,77,MANAGED,CC
26,171,141,MANAGED,CC
26,250,79,MANAGED,CC
27,81,288,MANAGED,CC
27,200,119,MANAGED,CC
27,300,100,MANAGED,CC
28,23,80,MANAGED,CC
28,110,87,MANAGED,CC
28,200,90,MANAGED,CC
28,280,80,MANAGED,CC
29,62,119,MANAGED,CC
29,191,129,MANAGED,CC
29,300,109,MANAGED,CC
30,91,198,MANAGED,CC
30,210,119,MANAGED,CC
31,21,378,MANAGED,CC
31,210,189,MANAGED,CC
32,101,378,MANAGED,CC
33,1,128,MANAGED,CC
33,120,119,MANAGED,CC
33,230,110,MANAGED,CC
34,101,338,MANAGED,CC
34,250,149,MANAGED,CC
35,41,98,MANAGED,CC
35,130,89,MANAGED,CC
35,220,90,MANAGED,CC
36,59,106,MANAGED,CC
36,151,92,MANAGED,CC
36,240,89,MANAGED,CC
37,80,207,MANAGED,CC
37,270,190,MANAGED,CC
38,21,428,MANAGED,CC
38,140,119,MANAGED,CC
38,250,110,MANAGED,CC
39,69,116,MANAGED,CC
39,180,111,MANAGED,CC
39,300,120,MANAGED,CC
40,1,238,MANAGED,CC
40,120,119,MANAGED,CC
40,220,100,MANAGED,CC
41,21,78,MANAGED,CC
41,110,89,MANAGED,CC
41,231,121,MANAGED,CC
42,11,138,MANAGED,CC
42,100,89,MANAGED,CC
42,210,110,MANAGED,CC
43,50,97,MANAGED,CC
43,170,120,MANAGED,CC
43,260,90,MANAGED,CC
44,51,108,MANAGED,CC
44,141,90,MANAGED,CC
44,271,130,MANAGED,CC
45,71,178,MANAGED,CC
45,190,119,MANAGED,CC
45,290,100,MANAGED,CC
46,1,238,MANAGED,CC
46,120,119,MANAGED,CC
46,220,100,MANAGED,CC
47,160,237,MANAGED,CC
48,97,140,MANAGED,CC
48,210,113,MANAGED,CC
49,65,112,MANAGED,CC
49,180,115,MANAGED,CC
49,290,110,MANAGED,CC
50,71,308,MANAGED,CC
50,190,119,MANAGED,CC
50,290,100,MANAGED,CC
51,10,113,MANAGED,CC
51,140,130,MANAGED,CC
51,240,100,MANAGED,CC
52,81,484,MANAGED,CC
52,230,149,MANAGED,CC
53,11,188,MANAGED,CC
53,120,109,MANAGED,CC
53,230,110,MANAGED,CC
54,93,140,MANAGED,CC
54,251,158,MANAGED,CC
55,71,348,MANAGED,CC
55,270,199,MANAGED,CC
56,111,158,MANAGED,CC
56,240,129,MANAGED,CC
57,110,157,MANAGED,CC
57,250,140,MANAGED,CC
58,1,238,MANAGED,CC
58,130,129,MANAGED,CC
58,250,120,MANAGED,CC
59,21,378,MANAGED,CC
59,140,119,MANAGED,CC
59,260,120,MANAGED,CC
61,101,208,MANAGED,CC
61,211,110,MANAGED,CC
62,40,87,MANAGED,CC
62,181,141,MANAGED,CC
62,300,119,MANAGED,CC
63,80,127,MANAGED,CC
63,181,101,MANAGED,CC
63,281,100,MANAGED,CC
64,1,238,MANAGED,CC
64,130,129,MANAGED,CC
64,250,120,MANAGED,CC
65,81,438,MANAGED,CC
65,230,149,MANAGED,CC
66,33,90,MANAGED,CC
66,123,90,MANAGED,CC
66,221,98,MANAGED,CC
67,40,87,MANAGED,CC
67,171,131,MANAGED,CC
67,281,110,MANAGED,CC
68,70,127,MANAGED,CC
68,298,228,MANAGED,CC
69,43,90,MANAGED,CC
69,170,127,MANAGED,CC
70,10,137,MANAGED,CC
70,130,120,MANAGED,CC
70,250,120,MANAGED,CC
71,61,188,MANAGED,CC
71,251,190,MANAGED,CC
72,11,112,MANAGED,CC
72,141,130,MANAGED,CC
72,300,159,MANAGED,CC
73,11,272,MANAGED,CC
73,120,109,MANAGED,CC
73,230,110,MANAGED,CC
74,21,78,MANAGED,CC
74,110,89,MANAGED,CC
74,231,121,MANAGED,CC
75,120,167,MANAGED,CC
75,270,150,MANAGED,CC
76,11,248,MANAGED,CC
76,109,98,MANAGED,CC
76,230,121,MANAGED,CC
77,33,90,MANAGED,CC
77,123,90,MANAGED,CC
77,221,98,MANAGED,CC
78,40,87,MANAGED,CC
78,152,112,MANAGED,CC
78,242,90,MANAGED,CC
79,1,178,MANAGED,CC
79,131,130,MANAGED,CC
79,230,99,MANAGED,CC
80,100,227,MANAGED,CC
80,270,170,MANAGED,CC
81,81,388,MANAGED,CC
81,190,109,MANAGED,CC
