TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_CW_H,0,0,10.0,0.0,10000.0,1.0,1.0,7.789999961853027,0.0
feature.Area.og1.CWHvm_HW_CW_H,1,10,10.0,0.0,10000.0,1.0,1.0,10.402000427246094,0.0
feature.Area.og1.CWHvm_HW_CW_H,2,20,10.0,0.0,10000.0,1.0,1.0,5.289999961853027,0.0
feature.Area.og1.CWHvm_HW_CW_H,3,30,10.0,0.0,10000.0,1.0,1.0,5.3480000495910645,0.0
feature.Area.og1.CWHvm_HW_CW_H,4,40,10.0,0.0,10000.0,1.0,1.0,6.451000213623047,0.0
feature.Area.og1.CWHvm_HW_CW_H,5,50,10.0,0.0,10000.0,1.0,1.0,7.557000160217285,0.0
feature.Area.og1.CWHvm_HW_CW_H,6,60,10.0,0.0,10000.0,1.0,1.0,6.050000190734863,0.0
feature.Area.og1.CWHvm_HW_CW_H,7,70,10.0,0.0,10000.0,1.0,1.0,9.61299991607666,0.0
feature.Area.og1.CWHvm_HW_CW_H,8,80,10.0,0.0,10000.0,1.0,1.0,14.40999984741211,0.0
feature.Area.og1.CWHvm_HW_CW_H,9,90,10.0,0.0,10000.0,1.0,1.0,19.07200050354004,0.0
feature.Area.og1.CWHvm_HW_CW_H,10,100,10.0,0.0,10000.0,1.0,1.0,7.428999900817871,0.0
feature.Area.og1.CWHvm_HW_CW_H,11,110,10.0,0.0,10000.0,1.0,1.0,7.607999801635742,0.0
feature.Area.og1.CWHvm_HW_CW_H,12,120,10.0,0.0,10000.0,1.0,1.0,7.788000106811523,0.0
feature.Area.og1.CWHvm_HW_CW_H,13,130,10.0,0.0,10000.0,1.0,1.0,9.602999687194824,0.0
feature.Area.og1.CWHvm_HW_CW_H,14,140,10.0,0.0,10000.0,1.0,1.0,8.038000106811523,0.0
feature.Area.og1.CWHvm_HW_CW_H,15,150,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,16,160,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,17,170,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,18,180,10.0,0.0,10000.0,1.0,1.0,8.395999908447266,0.0
feature.Area.og1.CWHvm_HW_CW_H,19,190,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,20,200,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,21,210,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,22,220,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,23,230,10.0,0.0,10000.0,1.0,1.0,12.423999786376953,0.0
feature.Area.og1.CWHvm_HW_CW_H,24,240,10.0,0.0,10000.0,1.0,1.0,16.80299949645996,0.0
feature.Area.og1.CWHvm_HW_CW_H,25,250,10.0,0.0,10000.0,1.0,1.0,21.18199920654297,0.0
feature.Area.og1.CWHvm_HW_CW_H,26,260,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,27,270,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,28,280,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,29,290,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
feature.Area.og1.CWHvm_HW_CW_H,30,300,10.0,0.0,10000.0,1.0,1.0,8.045000076293945,0.0
