TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.unmanaged.CWHvm_HW_CW_H,0,0,10.0,0.0,10000.0,1.0,1.0,127.76000213623047,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,1,10,10.0,0.0,10000.0,1.0,1.0,138.19900512695312,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,2,20,10.0,0.0,10000.0,1.0,1.0,148.63999938964844,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,3,30,10.0,0.0,10000.0,1.0,1.0,159.08099365234375,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,4,40,10.0,0.0,10000.0,1.0,1.0,169.5189971923828,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,5,50,10.0,0.0,10000.0,1.0,1.0,179.9600067138672,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,6,60,10.0,0.0,10000.0,1.0,1.0,190.39999389648438,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,7,70,10.0,0.0,10000.0,1.0,1.0,200.83799743652344,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,8,80,10.0,0.0,10000.0,1.0,1.0,211.2790069580078,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,9,90,10.0,0.0,10000.0,1.0,1.0,221.718994140625,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,10,100,10.0,0.0,10000.0,1.0,1.0,232.16000366210938,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,11,110,10.0,0.0,10000.0,1.0,1.0,242.5989990234375,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,12,120,10.0,0.0,10000.0,1.0,1.0,253.03900146484375,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,13,130,10.0,0.0,10000.0,1.0,1.0,261.635986328125,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,14,140,10.0,0.0,10000.0,1.0,1.0,269.7699890136719,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,15,150,10.0,0.0,10000.0,1.0,1.0,277.90399169921875,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,16,160,10.0,0.0,10000.0,1.0,1.0,286.0360107421875,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,17,170,10.0,0.0,10000.0,1.0,1.0,294.1700134277344,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,18,180,10.0,0.0,10000.0,1.0,1.0,298.87701416015625,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,19,190,10.0,0.0,10000.0,1.0,1.0,302.72601318359375,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,20,200,10.0,0.0,10000.0,1.0,1.0,305.07598876953125,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,21,210,10.0,0.0,10000.0,1.0,1.0,306.7130126953125,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,22,220,10.0,0.0,10000.0,1.0,1.0,308.35101318359375,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,23,230,10.0,0.0,10000.0,1.0,1.0,309.989013671875,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,24,240,10.0,0.0,10000.0,1.0,1.0,311.6260070800781,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,25,250,10.0,0.0,10000.0,1.0,1.0,312.1090087890625,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,26,260,10.0,0.0,10000.0,1.0,1.0,312.14801025390625,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,27,270,10.0,0.0,10000.0,1.0,1.0,312.14801025390625,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,28,280,10.0,0.0,10000.0,1.0,1.0,312.14801025390625,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,29,290,10.0,0.0,10000.0,1.0,1.0,312.14801025390625,0.0
feature.Height.unmanaged.CWHvm_HW_CW_H,30,300,10.0,0.0,10000.0,1.0,1.0,312.14801025390625,0.0
