TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_DR_HW_M.immature,0,0,10.0,0.0,10000.0,1.0,1.0,66.09400177001953,0.0
feature.Seral.CWHvm_DR_HW_M.immature,1,10,10.0,0.0,10000.0,1.0,1.0,66.09400177001953,0.0
feature.Seral.CWHvm_DR_HW_M.immature,2,20,10.0,0.0,10000.0,1.0,1.0,66.09400177001953,0.0
feature.Seral.CWHvm_DR_HW_M.immature,3,30,10.0,0.0,10000.0,1.0,1.0,66.09400177001953,0.0
feature.Seral.CWHvm_DR_HW_M.immature,4,40,10.0,0.0,10000.0,1.0,1.0,66.09400177001953,0.0
feature.Seral.CWHvm_DR_HW_M.immature,5,50,10.0,0.0,10000.0,1.0,1.0,66.09400177001953,0.0
feature.Seral.CWHvm_DR_HW_M.immature,6,60,10.0,0.0,10000.0,1.0,1.0,66.09400177001953,0.0
feature.Seral.CWHvm_DR_HW_M.immature,7,70,10.0,0.0,10000.0,1.0,1.0,41.667999267578125,0.0
feature.Seral.CWHvm_DR_HW_M.immature,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_DR_HW_M.immature,9,90,10.0,0.0,10000.0,1.0,1.0,1.8919999599456787,0.0
feature.Seral.CWHvm_DR_HW_M.immature,10,100,10.0,0.0,10000.0,1.0,1.0,9.975000381469727,0.0
feature.Seral.CWHvm_DR_HW_M.immature,11,110,10.0,0.0,10000.0,1.0,1.0,16.30699920654297,0.0
feature.Seral.CWHvm_DR_HW_M.immature,12,120,10.0,0.0,10000.0,1.0,1.0,23.136999130249023,0.0
feature.Seral.CWHvm_DR_HW_M.immature,13,130,10.0,0.0,10000.0,1.0,1.0,36.76499938964844,0.0
feature.Seral.CWHvm_DR_HW_M.immature,14,140,10.0,0.0,10000.0,1.0,1.0,38.48899841308594,0.0
feature.Seral.CWHvm_DR_HW_M.immature,15,150,10.0,0.0,10000.0,1.0,1.0,38.48899841308594,0.0
feature.Seral.CWHvm_DR_HW_M.immature,16,160,10.0,0.0,10000.0,1.0,1.0,38.48899841308594,0.0
feature.Seral.CWHvm_DR_HW_M.immature,17,170,10.0,0.0,10000.0,1.0,1.0,31.802000045776367,0.0
feature.Seral.CWHvm_DR_HW_M.immature,18,180,10.0,0.0,10000.0,1.0,1.0,36.01100158691406,0.0
feature.Seral.CWHvm_DR_HW_M.immature,19,190,10.0,0.0,10000.0,1.0,1.0,33.165000915527344,0.0
feature.Seral.CWHvm_DR_HW_M.immature,20,200,10.0,0.0,10000.0,1.0,1.0,38.45600128173828,0.0
feature.Seral.CWHvm_DR_HW_M.immature,21,210,10.0,0.0,10000.0,1.0,1.0,23.233999252319336,0.0
feature.Seral.CWHvm_DR_HW_M.immature,22,220,10.0,0.0,10000.0,1.0,1.0,19.25,0.0
feature.Seral.CWHvm_DR_HW_M.immature,23,230,10.0,0.0,10000.0,1.0,1.0,20.645999908447266,0.0
feature.Seral.CWHvm_DR_HW_M.immature,24,240,10.0,0.0,10000.0,1.0,1.0,36.0359992980957,0.0
feature.Seral.CWHvm_DR_HW_M.immature,25,250,10.0,0.0,10000.0,1.0,1.0,36.0359992980957,0.0
feature.Seral.CWHvm_DR_HW_M.immature,26,260,10.0,0.0,10000.0,1.0,1.0,36.0359992980957,0.0
feature.Seral.CWHvm_DR_HW_M.immature,27,270,10.0,0.0,10000.0,1.0,1.0,37.7599983215332,0.0
feature.Seral.CWHvm_DR_HW_M.immature,28,280,10.0,0.0,10000.0,1.0,1.0,33.80400085449219,0.0
feature.Seral.CWHvm_DR_HW_M.immature,29,290,10.0,0.0,10000.0,1.0,1.0,30.033000946044922,0.0
feature.Seral.CWHvm_DR_HW_M.immature,30,300,10.0,0.0,10000.0,1.0,1.0,26.7450008392334,0.0
