TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_FDC_H.immature,0,0,10.0,0.0,10000.0,1.0,1.0,329.4540100097656,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,1,10,10.0,0.0,10000.0,1.0,1.0,329.4540100097656,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,2,20,10.0,0.0,10000.0,1.0,1.0,322.3559875488281,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,3,30,10.0,0.0,10000.0,1.0,1.0,276.2909851074219,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,4,40,10.0,0.0,10000.0,1.0,1.0,124.33300018310547,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,5,50,10.0,0.0,10000.0,1.0,1.0,45.845001220703125,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,6,60,10.0,0.0,10000.0,1.0,1.0,83.552001953125,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,7,70,10.0,0.0,10000.0,1.0,1.0,164.60000610351562,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,8,80,10.0,0.0,10000.0,1.0,1.0,190.24400329589844,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,9,90,10.0,0.0,10000.0,1.0,1.0,197.48899841308594,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,10,100,10.0,0.0,10000.0,1.0,1.0,186.38400268554688,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,11,110,10.0,0.0,10000.0,1.0,1.0,200.5189971923828,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,12,120,10.0,0.0,10000.0,1.0,1.0,218.83399963378906,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,13,130,10.0,0.0,10000.0,1.0,1.0,192.406005859375,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,14,140,10.0,0.0,10000.0,1.0,1.0,169.43099975585938,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,15,150,10.0,0.0,10000.0,1.0,1.0,171.0330047607422,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,16,160,10.0,0.0,10000.0,1.0,1.0,184.1739959716797,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,17,170,10.0,0.0,10000.0,1.0,1.0,212.3990020751953,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,18,180,10.0,0.0,10000.0,1.0,1.0,169.8489990234375,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,19,190,10.0,0.0,10000.0,1.0,1.0,178.51600646972656,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,20,200,10.0,0.0,10000.0,1.0,1.0,187.73399353027344,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,21,210,10.0,0.0,10000.0,1.0,1.0,194.78700256347656,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,22,220,10.0,0.0,10000.0,1.0,1.0,159.76300048828125,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,23,230,10.0,0.0,10000.0,1.0,1.0,172.01699829101562,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,24,240,10.0,0.0,10000.0,1.0,1.0,195.94400024414062,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,25,250,10.0,0.0,10000.0,1.0,1.0,199.15199279785156,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,26,260,10.0,0.0,10000.0,1.0,1.0,228.1959991455078,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,27,270,10.0,0.0,10000.0,1.0,1.0,219.6840057373047,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,28,280,10.0,0.0,10000.0,1.0,1.0,229.2779998779297,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,29,290,10.0,0.0,10000.0,1.0,1.0,259.8680114746094,0.0
feature.Seral.CWHvm_HW_FDC_H.immature,30,300,10.0,0.0,10000.0,1.0,1.0,268.10198974609375,0.0
