BLOCK,DELTA,AGE,TYPE,TREATMENT
1,85,142,MANAGED,CC
1,225,140,MANAGED,CC
2,72,129,MANAGED,CC
2,174,102,MANAGED,CC
2,300,126,MANAGED,CC
3,63,100,MANAGED,CC
3,170,107,MANAGED,CC
3,270,100,MANAGED,CC
4,30,87,MANAGED,CC
4,171,141,MANAGED,CC
4,260,89,MANAGED,CC
5,121,168,MANAGED,CC
5,240,119,MANAGED,CC
6,90,177,MANAGED,CC
6,230,140,MANAGED,CC
7,114,171,MANAGED,CC
9,64,121,MANAGED,CC
9,169,105,MANAGED,CC
9,259,90,MANAGED,CC
11,53,110,MANAGED,CC
11,190,137,MANAGED,CC
11,279,89,MANAGED,CC
12,40,87,MANAGED,CC
12,163,123,MANAGED,CC
12,278,115,MANAGED,CC
13,59,106,MANAGED,CC
13,159,100,MANAGED,CC
13,278,119,MANAGED,CC
14,40,87,MANAGED,CC
15,41,168,MANAGED,CC
15,141,100,MANAGED,CC
15,230,89,MANAGED,CC
16,53,180,MANAGED,CC
16,160,107,MANAGED,CC
16,278,118,MANAGED,CC
17,61,128,MANAGED,CC
17,190,129,MANAGED,CC
17,280,90,MANAGED,CC
19,11,138,MANAGED,CC
19,170,159,MANAGED,CC
19,284,114,MANAGED,CC
20,125,172,MANAGED,CC
20,236,111,MANAGED,CC
21,64,131,MANAGED,CC
21,169,105,MANAGED,CC
21,259,90,MANAGED,CC
22,20,77,MANAGED,CC
22,108,88,MANAGED,CC
22,198,90,MANAGED,CC
23,11,138,MANAGED,CC
23,121,110,MANAGED,CC
23,260,139,MANAGED,CC
25,61,118,MANAGED,CC
25,161,100,MANAGED,CC
25,260,99,MANAGED,CC
26,91,138,MANAGED,CC
26,170,79,MANAGED,CC
26,250,80,MANAGED,CC
27,11,218,MANAGED,CC
27,91,80,MANAGED,CC
27,219,128,MANAGED,CC
28,64,121,MANAGED,CC
28,176,112,MANAGED,CC
28,278,102,MANAGED,CC
29,84,141,MANAGED,CC
29,188,104,MANAGED,CC
29,289,101,MANAGED,CC
30,20,127,MANAGED,CC
30,201,181,MANAGED,CC
30,300,99,MANAGED,CC
33,11,138,MANAGED,CC
33,160,149,MANAGED,CC
33,270,110,MANAGED,CC
34,11,248,MANAGED,CC
34,260,249,MANAGED,CC
35,21,78,MANAGED,CC
35,111,90,MANAGED,CC
35,200,89,MANAGED,CC
35,270,70,MANAGED,CC
36,64,111,MANAGED,CC
36,176,112,MANAGED,CC
36,278,102,MANAGED,CC
37,21,148,MANAGED,CC
37,150,129,MANAGED,CC
37,283,133,MANAGED,CC
39,140,187,MANAGED,CC
39,270,130,MANAGED,CC
40,51,288,MANAGED,CC
40,160,109,MANAGED,CC
40,280,120,MANAGED,CC
41,41,98,MANAGED,CC
41,130,89,MANAGED,CC
41,236,106,MANAGED,CC
42,1,128,MANAGED,CC
42,101,100,MANAGED,CC
42,190,89,MANAGED,CC
42,290,100,MANAGED,CC
43,51,98,MANAGED,CC
43,152,101,MANAGED,CC
43,260,108,MANAGED,CC
44,20,77,MANAGED,CC
44,108,88,MANAGED,CC
44,198,90,MANAGED,CC
45,71,178,MANAGED,CC
45,160,89,MANAGED,CC
45,250,90,MANAGED,CC
46,53,290,MANAGED,CC
47,11,88,MANAGED,CC
47,102,91,MANAGED,CC
47,220,118,MANAGED,CC
48,61,104,MANAGED,CC
48,170,109,MANAGED,CC
48,280,110,MANAGED,CC
49,53,100,MANAGED,CC
49,160,107,MANAGED,CC
49,270,110,MANAGED,CC
50,11,248,MANAGED,CC
50,120,109,MANAGED,CC
50,250,130,MANAGED,CC
51,13,116,MANAGED,CC
51,121,108,MANAGED,CC
51,209,88,MANAGED,CC
51,300,91,MANAGED,CC
53,19,196,MANAGED,CC
53,160,141,MANAGED,CC
53,270,110,MANAGED,CC
54,71,118,MANAGED,CC
54,180,109,MANAGED,CC
54,300,120,MANAGED,CC
56,80,127,MANAGED,CC
56,220,140,MANAGED,CC
57,63,110,MANAGED,CC
57,180,117,MANAGED,CC
57,280,100,MANAGED,CC
58,10,247,MANAGED,CC
58,230,220,MANAGED,CC
61,1,108,MANAGED,CC
61,101,100,MANAGED,CC
61,190,89,MANAGED,CC
61,287,97,MANAGED,CC
62,44,91,MANAGED,CC
62,138,94,MANAGED,CC
62,242,104,MANAGED,CC
63,55,102,MANAGED,CC
63,153,98,MANAGED,CC
63,250,97,MANAGED,CC
64,141,378,MANAGED,CC
64,277,136,MANAGED,CC
66,30,87,MANAGED,CC
66,181,151,MANAGED,CC
66,269,88,MANAGED,CC
67,44,91,MANAGED,CC
67,138,94,MANAGED,CC
67,242,104,MANAGED,CC
68,131,188,MANAGED,CC
68,240,109,MANAGED,CC
69,40,87,MANAGED,CC
69,139,99,MANAGED,CC
69,255,116,MANAGED,CC
70,150,277,MANAGED,CC
70,280,130,MANAGED,CC
71,8,135,MANAGED,CC
71,228,220,MANAGED,CC
72,55,156,MANAGED,CC
72,153,98,MANAGED,CC
72,250,97,MANAGED,CC
74,41,98,MANAGED,CC
74,130,89,MANAGED,CC
74,236,106,MANAGED,CC
75,93,140,MANAGED,CC
75,210,117,MANAGED,CC
76,1,238,MANAGED,CC
76,101,100,MANAGED,CC
76,190,89,MANAGED,CC
76,290,100,MANAGED,CC
77,41,98,MANAGED,CC
77,127,86,MANAGED,CC
77,217,90,MANAGED,CC
78,45,92,MANAGED,CC
78,138,93,MANAGED,CC
78,236,98,MANAGED,CC
79,1,178,MANAGED,CC
79,90,89,MANAGED,CC
79,225,135,MANAGED,CC
80,20,147,MANAGED,CC
80,170,150,MANAGED,CC
80,287,117,MANAGED,CC
82,72,129,MANAGED,CC
82,170,98,MANAGED,CC
83,110,187,MANAGED,CC
83,281,171,MANAGED,CC
84,64,121,MANAGED,CC
84,167,103,MANAGED,CC
84,259,92,MANAGED,CC
85,20,77,MANAGED,CC
85,108,88,MANAGED,CC
85,198,90,MANAGED,CC
86,10,107,MANAGED,CC
86,220,210,MANAGED,CC
87,28,85,MANAGED,CC
87,121,93,MANAGED,CC
87,210,89,MANAGED,CC
87,294,84,MANAGED,CC
89,11,118,MANAGED,CC
89,100,89,MANAGED,CC
89,212,112,MANAGED,CC
89,287,75,MANAGED,CC
90,32,89,MANAGED,CC
90,125,93,MANAGED,CC
90,216,91,MANAGED,CC
91,91,138,MANAGED,CC
91,200,109,MANAGED,CC
93,81,318,MANAGED,CC
93,280,199,MANAGED,CC
95,32,89,MANAGED,CC
95,131,99,MANAGED,CC
95,234,103,MANAGED,CC
96,99,146,MANAGED,CC
96,199,100,MANAGED,CC
97,31,88,MANAGED,CC
97,120,89,MANAGED,CC
97,220,100,MANAGED,CC
98,10,247,MANAGED,CC
98,210,200,MANAGED,CC
99,10,117,MANAGED,CC
99,210,200,MANAGED,CC
99,300,90,MANAGED,CC
101,53,100,MANAGED,CC
101,156,103,MANAGED,CC
101,258,102,MANAGED,CC
102,83,130,MANAGED,CC
102,225,142,MANAGED,CC
103,51,288,MANAGED,CC
103,160,109,MANAGED,CC
103,280,120,MANAGED,CC
105,81,138,MANAGED,CC
105,190,109,MANAGED,CC
105,290,100,MANAGED,CC
106,90,155,MANAGED,CC
106,280,190,MANAGED,CC
108,75,122,MANAGED,CC
109,196,253,MANAGED,CC
110,21,88,MANAGED,CC
110,161,140,MANAGED,CC
110,240,79,MANAGED,CC
112,90,137,MANAGED,CC
112,244,154,MANAGED,CC
113,172,219,MANAGED,CC
113,262,90,MANAGED,CC
114,33,80,MANAGED,CC
114,113,80,MANAGED,CC
114,220,107,MANAGED,CC
115,70,107,MANAGED,CC
115,200,130,MANAGED,CC
116,74,181,MANAGED,CC
116,230,156,MANAGED,CC
119,31,88,MANAGED,CC
119,110,79,MANAGED,CC
119,205,95,MANAGED,CC
120,93,150,MANAGED,CC
120,249,156,MANAGED,CC
121,62,119,MANAGED,CC
121,170,108,MANAGED,CC
121,290,120,MANAGED,CC
122,61,188,MANAGED,CC
122,170,109,MANAGED,CC
122,280,110,MANAGED,CC
123,72,119,MANAGED,CC
123,82,10,MANAGED,PCT
123,176,104,MANAGED,CC
123,186,10,MANAGED,PCT
123,298,122,MANAGED,CC
125,16,123,MANAGED,CC
125,111,95,MANAGED,CC
125,220,109,MANAGED,CC
126,70,117,MANAGED,CC
126,190,120,MANAGED,CC
126,280,90,MANAGED,CC
127,55,102,MANAGED,CC
127,213,158,MANAGED,CC
128,64,121,MANAGED,CC
128,169,105,MANAGED,CC
128,259,90,MANAGED,CC
129,1,128,MANAGED,CC
129,101,100,MANAGED,CC
129,210,109,MANAGED,CC
129,300,90,MANAGED,CC
130,8,205,MANAGED,CC
130,228,220,MANAGED,CC
131,11,248,MANAGED,CC
131,111,100,MANAGED,CC
131,240,129,MANAGED,CC
132,9,116,MANAGED,CC
132,102,93,MANAGED,CC
132,202,100,MANAGED,CC
132,300,98,MANAGED,CC
133,61,118,MANAGED,CC
133,180,119,MANAGED,CC
133,290,110,MANAGED,CC
134,111,158,MANAGED,CC
134,220,109,MANAGED,CC
135,41,98,MANAGED,CC
135,131,90,MANAGED,CC
135,220,89,MANAGED,CC
136,20,77,MANAGED,CC
136,132,112,MANAGED,CC
136,233,101,MANAGED,CC
137,48,95,MANAGED,CC
137,143,95,MANAGED,CC
137,244,101,MANAGED,CC
138,51,108,MANAGED,CC
138,160,109,MANAGED,CC
138,270,110,MANAGED,CC
139,53,100,MANAGED,CC
139,160,107,MANAGED,CC
139,270,110,MANAGED,CC
140,38,91,MANAGED,CC
140,199,161,MANAGED,CC
141,112,169,MANAGED,CC
141,250,138,MANAGED,CC
145,71,178,MANAGED,CC
145,160,89,MANAGED,CC
145,250,90,MANAGED,CC
146,84,141,MANAGED,CC
146,188,104,MANAGED,CC
146,289,101,MANAGED,CC
147,87,144,MANAGED,CC
147,188,101,MANAGED,CC
147,289,101,MANAGED,CC
148,72,119,MANAGED,CC
148,174,102,MANAGED,CC
148,300,126,MANAGED,CC
149,41,88,MANAGED,CC
149,131,90,MANAGED,CC
149,220,89,MANAGED,CC
150,19,106,MANAGED,CC
150,120,101,MANAGED,CC
150,250,130,MANAGED,CC
151,63,110,MANAGED,CC
151,171,108,MANAGED,CC
151,261,90,MANAGED,CC
152,121,168,MANAGED,CC
152,250,129,MANAGED,CC
153,1,128,MANAGED,CC
153,101,100,MANAGED,CC
153,190,89,MANAGED,CC
153,290,100,MANAGED,CC
154,13,80,MANAGED,CC
154,106,93,MANAGED,CC
154,206,100,MANAGED,CC
154,292,86,MANAGED,CC
155,143,270,MANAGED,CC
155,278,135,MANAGED,CC
159,1,108,MANAGED,CC
159,90,89,MANAGED,CC
159,230,140,MANAGED,CC
161,11,138,MANAGED,CC
161,121,110,MANAGED,CC
161,260,139,MANAGED,CC
162,30,89,MANAGED,CC
162,167,137,MANAGED,CC
162,260,93,MANAGED,CC
163,30,87,MANAGED,CC
163,204,174,MANAGED,CC
163,300,96,MANAGED,CC
164,51,158,MANAGED,CC
164,160,109,MANAGED,CC
164,280,120,MANAGED,CC
165,11,138,MANAGED,CC
165,160,149,MANAGED,CC
165,270,110,MANAGED,CC
166,220,267,MANAGED,CC
167,41,98,MANAGED,CC
167,129,88,MANAGED,CC
167,219,90,MANAGED,CC
168,25,132,MANAGED,CC
168,121,96,MANAGED,CC
168,210,89,MANAGED,CC
168,300,90,MANAGED,CC
169,31,88,MANAGED,CC
169,120,89,MANAGED,CC
169,220,100,MANAGED,CC
170,43,146,MANAGED,CC
170,141,98,MANAGED,CC
170,230,89,MANAGED,CC
172,71,318,MANAGED,CC
172,250,179,MANAGED,CC
173,12,189,MANAGED,CC
173,102,90,MANAGED,CC
173,207,105,MANAGED,CC
173,299,92,MANAGED,CC
175,41,98,MANAGED,CC
175,131,90,MANAGED,CC
175,220,89,MANAGED,CC
176,1,128,MANAGED,CC
176,90,89,MANAGED,CC
