TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_CW_H,0,0,10.0,0.0,10000.0,1.0,1.0,7.788000106811523,0.0
feature.Area.og1.CWHvm_HW_CW_H,1,10,10.0,0.0,10000.0,1.0,1.0,11.96399974822998,0.0
feature.Area.og1.CWHvm_HW_CW_H,2,20,10.0,0.0,10000.0,1.0,1.0,14.706999778747559,0.0
feature.Area.og1.CWHvm_HW_CW_H,3,30,10.0,0.0,10000.0,1.0,1.0,19.5,0.0
feature.Area.og1.CWHvm_HW_CW_H,4,40,10.0,0.0,10000.0,1.0,1.0,24.292999267578125,0.0
feature.Area.og1.CWHvm_HW_CW_H,5,50,10.0,0.0,10000.0,1.0,1.0,29.086000442504883,0.0
feature.Area.og1.CWHvm_HW_CW_H,6,60,10.0,0.0,10000.0,1.0,1.0,33.880001068115234,0.0
feature.Area.og1.CWHvm_HW_CW_H,7,70,10.0,0.0,10000.0,1.0,1.0,24.139999389648438,0.0
feature.Area.og1.CWHvm_HW_CW_H,8,80,10.0,0.0,10000.0,1.0,1.0,24.724000930786133,0.0
feature.Area.og1.CWHvm_HW_CW_H,9,90,10.0,0.0,10000.0,1.0,1.0,25.05900001525879,0.0
feature.Area.og1.CWHvm_HW_CW_H,10,100,10.0,0.0,10000.0,1.0,1.0,25.242000579833984,0.0
feature.Area.og1.CWHvm_HW_CW_H,11,110,10.0,0.0,10000.0,1.0,1.0,25.423999786376953,0.0
feature.Area.og1.CWHvm_HW_CW_H,12,120,10.0,0.0,10000.0,1.0,1.0,25.606000900268555,0.0
feature.Area.og1.CWHvm_HW_CW_H,13,130,10.0,0.0,10000.0,1.0,1.0,25.788999557495117,0.0
feature.Area.og1.CWHvm_HW_CW_H,14,140,10.0,0.0,10000.0,1.0,1.0,25.861000061035156,0.0
feature.Area.og1.CWHvm_HW_CW_H,15,150,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,16,160,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,17,170,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,18,180,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,19,190,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,20,200,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,21,210,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,22,220,10.0,0.0,10000.0,1.0,1.0,12.154999732971191,0.0
feature.Area.og1.CWHvm_HW_CW_H,23,230,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,24,240,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,25,250,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,26,260,10.0,0.0,10000.0,1.0,1.0,11.918000221252441,0.0
feature.Area.og1.CWHvm_HW_CW_H,27,270,10.0,0.0,10000.0,1.0,1.0,12.913999557495117,0.0
feature.Area.og1.CWHvm_HW_CW_H,28,280,10.0,0.0,10000.0,1.0,1.0,14.906999588012695,0.0
feature.Area.og1.CWHvm_HW_CW_H,29,290,10.0,0.0,10000.0,1.0,1.0,16.899999618530273,0.0
feature.Area.og1.CWHvm_HW_CW_H,30,300,10.0,0.0,10000.0,1.0,1.0,18.89299964904785,0.0
