TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_FDC_L,0,0,10.0,0.0,10000.0,1.0,1.0,21.791000366210938,0.0
feature.Area.og1.CWHvm_HW_FDC_L,1,10,10.0,0.0,10000.0,1.0,1.0,15.989999771118164,0.0
feature.Area.og1.CWHvm_HW_FDC_L,2,20,10.0,0.0,10000.0,1.0,1.0,10.680999755859375,0.0
feature.Area.og1.CWHvm_HW_FDC_L,3,30,10.0,0.0,10000.0,1.0,1.0,6.586999893188477,0.0
feature.Area.og1.CWHvm_HW_FDC_L,4,40,10.0,0.0,10000.0,1.0,1.0,8.428000450134277,0.0
feature.Area.og1.CWHvm_HW_FDC_L,5,50,10.0,0.0,10000.0,1.0,1.0,9.895000457763672,0.0
feature.Area.og1.CWHvm_HW_FDC_L,6,60,10.0,0.0,10000.0,1.0,1.0,13.204999923706055,0.0
feature.Area.og1.CWHvm_HW_FDC_L,7,70,10.0,0.0,10000.0,1.0,1.0,16.31800079345703,0.0
feature.Area.og1.CWHvm_HW_FDC_L,8,80,10.0,0.0,10000.0,1.0,1.0,17.974000930786133,0.0
feature.Area.og1.CWHvm_HW_FDC_L,9,90,10.0,0.0,10000.0,1.0,1.0,20.593000411987305,0.0
feature.Area.og1.CWHvm_HW_FDC_L,10,100,10.0,0.0,10000.0,1.0,1.0,20.231000900268555,0.0
feature.Area.og1.CWHvm_HW_FDC_L,11,110,10.0,0.0,10000.0,1.0,1.0,21.7189998626709,0.0
feature.Area.og1.CWHvm_HW_FDC_L,12,120,10.0,0.0,10000.0,1.0,1.0,22.232999801635742,0.0
feature.Area.og1.CWHvm_HW_FDC_L,13,130,10.0,0.0,10000.0,1.0,1.0,23.867000579833984,0.0
feature.Area.og1.CWHvm_HW_FDC_L,14,140,10.0,0.0,10000.0,1.0,1.0,25.927000045776367,0.0
feature.Area.og1.CWHvm_HW_FDC_L,15,150,10.0,0.0,10000.0,1.0,1.0,23.176000595092773,0.0
feature.Area.og1.CWHvm_HW_FDC_L,16,160,10.0,0.0,10000.0,1.0,1.0,23.583999633789062,0.0
feature.Area.og1.CWHvm_HW_FDC_L,17,170,10.0,0.0,10000.0,1.0,1.0,24.020000457763672,0.0
feature.Area.og1.CWHvm_HW_FDC_L,18,180,10.0,0.0,10000.0,1.0,1.0,21.58099937438965,0.0
feature.Area.og1.CWHvm_HW_FDC_L,19,190,10.0,0.0,10000.0,1.0,1.0,21.58099937438965,0.0
feature.Area.og1.CWHvm_HW_FDC_L,20,200,10.0,0.0,10000.0,1.0,1.0,23.996000289916992,0.0
feature.Area.og1.CWHvm_HW_FDC_L,21,210,10.0,0.0,10000.0,1.0,1.0,26.628999710083008,0.0
feature.Area.og1.CWHvm_HW_FDC_L,22,220,10.0,0.0,10000.0,1.0,1.0,26.868999481201172,0.0
feature.Area.og1.CWHvm_HW_FDC_L,23,230,10.0,0.0,10000.0,1.0,1.0,22.38800048828125,0.0
feature.Area.og1.CWHvm_HW_FDC_L,24,240,10.0,0.0,10000.0,1.0,1.0,21.58099937438965,0.0
feature.Area.og1.CWHvm_HW_FDC_L,25,250,10.0,0.0,10000.0,1.0,1.0,21.742000579833984,0.0
feature.Area.og1.CWHvm_HW_FDC_L,26,260,10.0,0.0,10000.0,1.0,1.0,22.253999710083008,0.0
feature.Area.og1.CWHvm_HW_FDC_L,27,270,10.0,0.0,10000.0,1.0,1.0,21.94700050354004,0.0
feature.Area.og1.CWHvm_HW_FDC_L,28,280,10.0,0.0,10000.0,1.0,1.0,22.437000274658203,0.0
feature.Area.og1.CWHvm_HW_FDC_L,29,290,10.0,0.0,10000.0,1.0,1.0,22.433000564575195,0.0
feature.Area.og1.CWHvm_HW_FDC_L,30,300,10.0,0.0,10000.0,1.0,1.0,21.58099937438965,0.0
