TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_HW_CW_H,0,0,10.0,0.0,10000.0,1.0,1.0,63.77199935913086,0.0
feature.Height.managed.CWHvm_HW_CW_H,1,10,10.0,0.0,10000.0,1.0,1.0,60.26900100708008,0.0
feature.Height.managed.CWHvm_HW_CW_H,2,20,10.0,0.0,10000.0,1.0,1.0,46.409000396728516,0.0
feature.Height.managed.CWHvm_HW_CW_H,3,30,10.0,0.0,10000.0,1.0,1.0,52.96200180053711,0.0
feature.Height.managed.CWHvm_HW_CW_H,4,40,10.0,0.0,10000.0,1.0,1.0,59.51499938964844,0.0
feature.Height.managed.CWHvm_HW_CW_H,5,50,10.0,0.0,10000.0,1.0,1.0,63.91899871826172,0.0
feature.Height.managed.CWHvm_HW_CW_H,6,60,10.0,0.0,10000.0,1.0,1.0,70.47599792480469,0.0
feature.Height.managed.CWHvm_HW_CW_H,7,70,10.0,0.0,10000.0,1.0,1.0,35.56700134277344,0.0
feature.Height.managed.CWHvm_HW_CW_H,8,80,10.0,0.0,10000.0,1.0,1.0,42.12099838256836,0.0
feature.Height.managed.CWHvm_HW_CW_H,9,90,10.0,0.0,10000.0,1.0,1.0,47.66400146484375,0.0
feature.Height.managed.CWHvm_HW_CW_H,10,100,10.0,0.0,10000.0,1.0,1.0,38.43600082397461,0.0
feature.Height.managed.CWHvm_HW_CW_H,11,110,10.0,0.0,10000.0,1.0,1.0,43.797000885009766,0.0
feature.Height.managed.CWHvm_HW_CW_H,12,120,10.0,0.0,10000.0,1.0,1.0,48.0880012512207,0.0
feature.Height.managed.CWHvm_HW_CW_H,13,130,10.0,0.0,10000.0,1.0,1.0,51.6619987487793,0.0
feature.Height.managed.CWHvm_HW_CW_H,14,140,10.0,0.0,10000.0,1.0,1.0,55.895999908447266,0.0
feature.Height.managed.CWHvm_HW_CW_H,15,150,10.0,0.0,10000.0,1.0,1.0,36.5260009765625,0.0
feature.Height.managed.CWHvm_HW_CW_H,16,160,10.0,0.0,10000.0,1.0,1.0,43.082000732421875,0.0
feature.Height.managed.CWHvm_HW_CW_H,17,170,10.0,0.0,10000.0,1.0,1.0,41.016998291015625,0.0
feature.Height.managed.CWHvm_HW_CW_H,18,180,10.0,0.0,10000.0,1.0,1.0,47.57099914550781,0.0
feature.Height.managed.CWHvm_HW_CW_H,19,190,10.0,0.0,10000.0,1.0,1.0,54.124000549316406,0.0
feature.Height.managed.CWHvm_HW_CW_H,20,200,10.0,0.0,10000.0,1.0,1.0,20.177000045776367,0.0
feature.Height.managed.CWHvm_HW_CW_H,21,210,10.0,0.0,10000.0,1.0,1.0,23.320999145507812,0.0
feature.Height.managed.CWHvm_HW_CW_H,22,220,10.0,0.0,10000.0,1.0,1.0,23.07699966430664,0.0
feature.Height.managed.CWHvm_HW_CW_H,23,230,10.0,0.0,10000.0,1.0,1.0,24.58300018310547,0.0
feature.Height.managed.CWHvm_HW_CW_H,24,240,10.0,0.0,10000.0,1.0,1.0,31.136999130249023,0.0
feature.Height.managed.CWHvm_HW_CW_H,25,250,10.0,0.0,10000.0,1.0,1.0,37.689998626708984,0.0
feature.Height.managed.CWHvm_HW_CW_H,26,260,10.0,0.0,10000.0,1.0,1.0,44.24599838256836,0.0
feature.Height.managed.CWHvm_HW_CW_H,27,270,10.0,0.0,10000.0,1.0,1.0,50.79800033569336,0.0
feature.Height.managed.CWHvm_HW_CW_H,28,280,10.0,0.0,10000.0,1.0,1.0,48.65599822998047,0.0
feature.Height.managed.CWHvm_HW_CW_H,29,290,10.0,0.0,10000.0,1.0,1.0,41.77000045776367,0.0
feature.Height.managed.CWHvm_HW_CW_H,30,300,10.0,0.0,10000.0,1.0,1.0,46.611000061035156,0.0
