TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_CW_L.mature,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.mature,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.mature,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.mature,3,30,10.0,0.0,10000.0,1.0,1.0,0.07199999690055847,0.0
feature.Seral.CWHvm_HW_CW_L.mature,4,40,10.0,0.0,10000.0,1.0,1.0,3.128999948501587,0.0
feature.Seral.CWHvm_HW_CW_L.mature,5,50,10.0,0.0,10000.0,1.0,1.0,3.128999948501587,0.0
feature.Seral.CWHvm_HW_CW_L.mature,6,60,10.0,0.0,10000.0,1.0,1.0,3.128999948501587,0.0
feature.Seral.CWHvm_HW_CW_L.mature,7,70,10.0,0.0,10000.0,1.0,1.0,3.128999948501587,0.0
feature.Seral.CWHvm_HW_CW_L.mature,8,80,10.0,0.0,10000.0,1.0,1.0,3.128999948501587,0.0
feature.Seral.CWHvm_HW_CW_L.mature,9,90,10.0,0.0,10000.0,1.0,1.0,0.17900000512599945,0.0
feature.Seral.CWHvm_HW_CW_L.mature,10,100,10.0,0.0,10000.0,1.0,1.0,0.17900000512599945,0.0
feature.Seral.CWHvm_HW_CW_L.mature,11,110,10.0,0.0,10000.0,1.0,1.0,0.10700000077486038,0.0
feature.Seral.CWHvm_HW_CW_L.mature,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.mature,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.mature,14,140,10.0,0.0,10000.0,1.0,1.0,4.269000053405762,0.0
feature.Seral.CWHvm_HW_CW_L.mature,15,150,10.0,0.0,10000.0,1.0,1.0,4.269000053405762,0.0
feature.Seral.CWHvm_HW_CW_L.mature,16,160,10.0,0.0,10000.0,1.0,1.0,4.269000053405762,0.0
feature.Seral.CWHvm_HW_CW_L.mature,17,170,10.0,0.0,10000.0,1.0,1.0,4.269000053405762,0.0
feature.Seral.CWHvm_HW_CW_L.mature,18,180,10.0,0.0,10000.0,1.0,1.0,8.461999893188477,0.0
feature.Seral.CWHvm_HW_CW_L.mature,19,190,10.0,0.0,10000.0,1.0,1.0,8.461999893188477,0.0
feature.Seral.CWHvm_HW_CW_L.mature,20,200,10.0,0.0,10000.0,1.0,1.0,13.420000076293945,0.0
feature.Seral.CWHvm_HW_CW_L.mature,21,210,10.0,0.0,10000.0,1.0,1.0,11.994000434875488,0.0
feature.Seral.CWHvm_HW_CW_L.mature,22,220,10.0,0.0,10000.0,1.0,1.0,12.10099983215332,0.0
feature.Seral.CWHvm_HW_CW_L.mature,23,230,10.0,0.0,10000.0,1.0,1.0,9.151000022888184,0.0
feature.Seral.CWHvm_HW_CW_L.mature,24,240,10.0,0.0,10000.0,1.0,1.0,9.151000022888184,0.0
feature.Seral.CWHvm_HW_CW_L.mature,25,250,10.0,0.0,10000.0,1.0,1.0,4.192999839782715,0.0
feature.Seral.CWHvm_HW_CW_L.mature,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.mature,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.mature,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.mature,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_L.mature,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
