TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_FDC_H,0,0,10.0,0.0,10000.0,1.0,1.0,10.696000099182129,0.0
feature.Area.og1.CWHvm_HW_FDC_H,1,10,10.0,0.0,10000.0,1.0,1.0,5.8470001220703125,0.0
feature.Area.og1.CWHvm_HW_FDC_H,2,20,10.0,0.0,10000.0,1.0,1.0,8.815999984741211,0.0
feature.Area.og1.CWHvm_HW_FDC_H,3,30,10.0,0.0,10000.0,1.0,1.0,11.782999992370605,0.0
feature.Area.og1.CWHvm_HW_FDC_H,4,40,10.0,0.0,10000.0,1.0,1.0,6.406000137329102,0.0
feature.Area.og1.CWHvm_HW_FDC_H,5,50,10.0,0.0,10000.0,1.0,1.0,12.96500015258789,0.0
feature.Area.og1.CWHvm_HW_FDC_H,6,60,10.0,0.0,10000.0,1.0,1.0,16.9060001373291,0.0
feature.Area.og1.CWHvm_HW_FDC_H,7,70,10.0,0.0,10000.0,1.0,1.0,25.277000427246094,0.0
feature.Area.og1.CWHvm_HW_FDC_H,8,80,10.0,0.0,10000.0,1.0,1.0,25.518999099731445,0.0
feature.Area.og1.CWHvm_HW_FDC_H,9,90,10.0,0.0,10000.0,1.0,1.0,30.357999801635742,0.0
feature.Area.og1.CWHvm_HW_FDC_H,10,100,10.0,0.0,10000.0,1.0,1.0,35.196998596191406,0.0
feature.Area.og1.CWHvm_HW_FDC_H,11,110,10.0,0.0,10000.0,1.0,1.0,40.03799819946289,0.0
feature.Area.og1.CWHvm_HW_FDC_H,12,120,10.0,0.0,10000.0,1.0,1.0,44.45899963378906,0.0
feature.Area.og1.CWHvm_HW_FDC_H,13,130,10.0,0.0,10000.0,1.0,1.0,47.00899887084961,0.0
feature.Area.og1.CWHvm_HW_FDC_H,14,140,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,15,150,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,16,160,10.0,0.0,10000.0,1.0,1.0,48.9119987487793,0.0
feature.Area.og1.CWHvm_HW_FDC_H,17,170,10.0,0.0,10000.0,1.0,1.0,53.43199920654297,0.0
feature.Area.og1.CWHvm_HW_FDC_H,18,180,10.0,0.0,10000.0,1.0,1.0,57.95399856567383,0.0
feature.Area.og1.CWHvm_HW_FDC_H,19,190,10.0,0.0,10000.0,1.0,1.0,62.474998474121094,0.0
feature.Area.og1.CWHvm_HW_FDC_H,20,200,10.0,0.0,10000.0,1.0,1.0,66.99700164794922,0.0
feature.Area.og1.CWHvm_HW_FDC_H,21,210,10.0,0.0,10000.0,1.0,1.0,71.51899719238281,0.0
feature.Area.og1.CWHvm_HW_FDC_H,22,220,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,23,230,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,24,240,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,25,250,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,26,260,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,27,270,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,28,280,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,29,290,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_H,30,300,10.0,0.0,10000.0,1.0,1.0,47.55500030517578,0.0
