TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_FDC_L,0,0,10.0,0.0,10000.0,1.0,1.0,21.791000366210938,0.0
feature.Area.og1.CWHvm_HW_FDC_L,1,10,10.0,0.0,10000.0,1.0,1.0,28.459999084472656,0.0
feature.Area.og1.CWHvm_HW_FDC_L,2,20,10.0,0.0,10000.0,1.0,1.0,35.124000549316406,0.0
feature.Area.og1.CWHvm_HW_FDC_L,3,30,10.0,0.0,10000.0,1.0,1.0,42.3489990234375,0.0
feature.Area.og1.CWHvm_HW_FDC_L,4,40,10.0,0.0,10000.0,1.0,1.0,50.0989990234375,0.0
feature.Area.og1.CWHvm_HW_FDC_L,5,50,10.0,0.0,10000.0,1.0,1.0,63.70199966430664,0.0
feature.Area.og1.CWHvm_HW_FDC_L,6,60,10.0,0.0,10000.0,1.0,1.0,74.25299835205078,0.0
feature.Area.og1.CWHvm_HW_FDC_L,7,70,10.0,0.0,10000.0,1.0,1.0,66.56700134277344,0.0
feature.Area.og1.CWHvm_HW_FDC_L,8,80,10.0,0.0,10000.0,1.0,1.0,51.426998138427734,0.0
feature.Area.og1.CWHvm_HW_FDC_L,9,90,10.0,0.0,10000.0,1.0,1.0,54.06999969482422,0.0
feature.Area.og1.CWHvm_HW_FDC_L,10,100,10.0,0.0,10000.0,1.0,1.0,58.64400100708008,0.0
feature.Area.og1.CWHvm_HW_FDC_L,11,110,10.0,0.0,10000.0,1.0,1.0,60.55500030517578,0.0
feature.Area.og1.CWHvm_HW_FDC_L,12,120,10.0,0.0,10000.0,1.0,1.0,59.29899978637695,0.0
feature.Area.og1.CWHvm_HW_FDC_L,13,130,10.0,0.0,10000.0,1.0,1.0,60.66699981689453,0.0
feature.Area.og1.CWHvm_HW_FDC_L,14,140,10.0,0.0,10000.0,1.0,1.0,60.95399856567383,0.0
feature.Area.og1.CWHvm_HW_FDC_L,15,150,10.0,0.0,10000.0,1.0,1.0,56.44599914550781,0.0
feature.Area.og1.CWHvm_HW_FDC_L,16,160,10.0,0.0,10000.0,1.0,1.0,56.44599914550781,0.0
feature.Area.og1.CWHvm_HW_FDC_L,17,170,10.0,0.0,10000.0,1.0,1.0,56.632999420166016,0.0
feature.Area.og1.CWHvm_HW_FDC_L,18,180,10.0,0.0,10000.0,1.0,1.0,63.167999267578125,0.0
feature.Area.og1.CWHvm_HW_FDC_L,19,190,10.0,0.0,10000.0,1.0,1.0,69.95999908447266,0.0
feature.Area.og1.CWHvm_HW_FDC_L,20,200,10.0,0.0,10000.0,1.0,1.0,71.17400360107422,0.0
feature.Area.og1.CWHvm_HW_FDC_L,21,210,10.0,0.0,10000.0,1.0,1.0,66.24099731445312,0.0
feature.Area.og1.CWHvm_HW_FDC_L,22,220,10.0,0.0,10000.0,1.0,1.0,68.77899932861328,0.0
feature.Area.og1.CWHvm_HW_FDC_L,23,230,10.0,0.0,10000.0,1.0,1.0,71.68499755859375,0.0
feature.Area.og1.CWHvm_HW_FDC_L,24,240,10.0,0.0,10000.0,1.0,1.0,56.96799850463867,0.0
feature.Area.og1.CWHvm_HW_FDC_L,25,250,10.0,0.0,10000.0,1.0,1.0,57.108001708984375,0.0
feature.Area.og1.CWHvm_HW_FDC_L,26,260,10.0,0.0,10000.0,1.0,1.0,57.4630012512207,0.0
feature.Area.og1.CWHvm_HW_FDC_L,27,270,10.0,0.0,10000.0,1.0,1.0,57.26499938964844,0.0
feature.Area.og1.CWHvm_HW_FDC_L,28,280,10.0,0.0,10000.0,1.0,1.0,58.236000061035156,0.0
feature.Area.og1.CWHvm_HW_FDC_L,29,290,10.0,0.0,10000.0,1.0,1.0,58.04399871826172,0.0
feature.Area.og1.CWHvm_HW_FDC_L,30,300,10.0,0.0,10000.0,1.0,1.0,58.433998107910156,0.0
