TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_FDC_HW_L,0,0,10.0,0.0,10000.0,1.0,1.0,20.454999923706055,0.0
feature.Height.managed.CWHvm_FDC_HW_L,1,10,10.0,0.0,10000.0,1.0,1.0,23.207000732421875,0.0
feature.Height.managed.CWHvm_FDC_HW_L,2,20,10.0,0.0,10000.0,1.0,1.0,25.961000442504883,0.0
feature.Height.managed.CWHvm_FDC_HW_L,3,30,10.0,0.0,10000.0,1.0,1.0,28.71299934387207,0.0
feature.Height.managed.CWHvm_FDC_HW_L,4,40,10.0,0.0,10000.0,1.0,1.0,31.466999053955078,0.0
feature.Height.managed.CWHvm_FDC_HW_L,5,50,10.0,0.0,10000.0,1.0,1.0,34.21900177001953,0.0
feature.Height.managed.CWHvm_FDC_HW_L,6,60,10.0,0.0,10000.0,1.0,1.0,29.05299949645996,0.0
feature.Height.managed.CWHvm_FDC_HW_L,7,70,10.0,0.0,10000.0,1.0,1.0,28.871000289916992,0.0
feature.Height.managed.CWHvm_FDC_HW_L,8,80,10.0,0.0,10000.0,1.0,1.0,26.749000549316406,0.0
feature.Height.managed.CWHvm_FDC_HW_L,9,90,10.0,0.0,10000.0,1.0,1.0,29.500999450683594,0.0
feature.Height.managed.CWHvm_FDC_HW_L,10,100,10.0,0.0,10000.0,1.0,1.0,31.266000747680664,0.0
feature.Height.managed.CWHvm_FDC_HW_L,11,110,10.0,0.0,10000.0,1.0,1.0,34.01900100708008,0.0
feature.Height.managed.CWHvm_FDC_HW_L,12,120,10.0,0.0,10000.0,1.0,1.0,36.770999908447266,0.0
feature.Height.managed.CWHvm_FDC_HW_L,13,130,10.0,0.0,10000.0,1.0,1.0,37.87099838256836,0.0
feature.Height.managed.CWHvm_FDC_HW_L,14,140,10.0,0.0,10000.0,1.0,1.0,40.62200164794922,0.0
feature.Height.managed.CWHvm_FDC_HW_L,15,150,10.0,0.0,10000.0,1.0,1.0,39.319000244140625,0.0
feature.Height.managed.CWHvm_FDC_HW_L,16,160,10.0,0.0,10000.0,1.0,1.0,42.06999969482422,0.0
feature.Height.managed.CWHvm_FDC_HW_L,17,170,10.0,0.0,10000.0,1.0,1.0,44.82400131225586,0.0
feature.Height.managed.CWHvm_FDC_HW_L,18,180,10.0,0.0,10000.0,1.0,1.0,47.57699966430664,0.0
feature.Height.managed.CWHvm_FDC_HW_L,19,190,10.0,0.0,10000.0,1.0,1.0,50.03300094604492,0.0
feature.Height.managed.CWHvm_FDC_HW_L,20,200,10.0,0.0,10000.0,1.0,1.0,47.98400115966797,0.0
feature.Height.managed.CWHvm_FDC_HW_L,21,210,10.0,0.0,10000.0,1.0,1.0,50.73699951171875,0.0
feature.Height.managed.CWHvm_FDC_HW_L,22,220,10.0,0.0,10000.0,1.0,1.0,52.564998626708984,0.0
feature.Height.managed.CWHvm_FDC_HW_L,23,230,10.0,0.0,10000.0,1.0,1.0,55.31700134277344,0.0
feature.Height.managed.CWHvm_FDC_HW_L,24,240,10.0,0.0,10000.0,1.0,1.0,56.94499969482422,0.0
feature.Height.managed.CWHvm_FDC_HW_L,25,250,10.0,0.0,10000.0,1.0,1.0,57.1619987487793,0.0
feature.Height.managed.CWHvm_FDC_HW_L,26,260,10.0,0.0,10000.0,1.0,1.0,59.915000915527344,0.0
feature.Height.managed.CWHvm_FDC_HW_L,27,270,10.0,0.0,10000.0,1.0,1.0,60.869998931884766,0.0
feature.Height.managed.CWHvm_FDC_HW_L,28,280,10.0,0.0,10000.0,1.0,1.0,58.12799835205078,0.0
feature.Height.managed.CWHvm_FDC_HW_L,29,290,10.0,0.0,10000.0,1.0,1.0,60.880001068115234,0.0
feature.Height.managed.CWHvm_FDC_HW_L,30,300,10.0,0.0,10000.0,1.0,1.0,61.608001708984375,0.0
