TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.unmanaged.CWHvm_FDC_HW_H,0,0,10.0,0.0,10000.0,1.0,1.0,86.69599914550781,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,1,10,10.0,0.0,10000.0,1.0,1.0,103.5270004272461,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,2,20,10.0,0.0,10000.0,1.0,1.0,120.35900115966797,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,3,30,10.0,0.0,10000.0,1.0,1.0,137.19000244140625,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,4,40,10.0,0.0,10000.0,1.0,1.0,154.02200317382812,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,5,50,10.0,0.0,10000.0,1.0,1.0,170.85499572753906,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,6,60,10.0,0.0,10000.0,1.0,1.0,187.68600463867188,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,7,70,10.0,0.0,10000.0,1.0,1.0,204.5189971923828,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,8,80,10.0,0.0,10000.0,1.0,1.0,221.35299682617188,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,9,90,10.0,0.0,10000.0,1.0,1.0,238.18499755859375,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,10,100,10.0,0.0,10000.0,1.0,1.0,255.01800537109375,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,11,110,10.0,0.0,10000.0,1.0,1.0,271.8489990234375,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,12,120,10.0,0.0,10000.0,1.0,1.0,288.6820068359375,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,13,130,10.0,0.0,10000.0,1.0,1.0,305.5140075683594,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,14,140,10.0,0.0,10000.0,1.0,1.0,322.34698486328125,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,15,150,10.0,0.0,10000.0,1.0,1.0,339.1780090332031,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,16,160,10.0,0.0,10000.0,1.0,1.0,356.010986328125,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,17,170,10.0,0.0,10000.0,1.0,1.0,372.8420104980469,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,18,180,10.0,0.0,10000.0,1.0,1.0,389.67498779296875,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,19,190,10.0,0.0,10000.0,1.0,1.0,406.5069885253906,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,20,200,10.0,0.0,10000.0,1.0,1.0,423.3399963378906,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,21,210,10.0,0.0,10000.0,1.0,1.0,440.1709899902344,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,22,220,10.0,0.0,10000.0,1.0,1.0,457.00299072265625,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,23,230,10.0,0.0,10000.0,1.0,1.0,473.83599853515625,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,24,240,10.0,0.0,10000.0,1.0,1.0,490.5419921875,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,25,250,10.0,0.0,10000.0,1.0,1.0,501.37200927734375,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,26,260,10.0,0.0,10000.0,1.0,1.0,503.27899169921875,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,27,270,10.0,0.0,10000.0,1.0,1.0,503.27899169921875,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,28,280,10.0,0.0,10000.0,1.0,1.0,503.27899169921875,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,29,290,10.0,0.0,10000.0,1.0,1.0,503.27899169921875,0.0
feature.Height.unmanaged.CWHvm_FDC_HW_H,30,300,10.0,0.0,10000.0,1.0,1.0,503.27899169921875,0.0
