TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_CW_HW_M.mature,0,0,10.0,0.0,10000.0,1.0,1.0,7.53000020980835,0.0
feature.Seral.CWHvm_CW_HW_M.mature,1,10,10.0,0.0,10000.0,1.0,1.0,7.53000020980835,0.0
feature.Seral.CWHvm_CW_HW_M.mature,2,20,10.0,0.0,10000.0,1.0,1.0,7.53000020980835,0.0
feature.Seral.CWHvm_CW_HW_M.mature,3,30,10.0,0.0,10000.0,1.0,1.0,4.170000076293945,0.0
feature.Seral.CWHvm_CW_HW_M.mature,4,40,10.0,0.0,10000.0,1.0,1.0,5.986000061035156,0.0
feature.Seral.CWHvm_CW_HW_M.mature,5,50,10.0,0.0,10000.0,1.0,1.0,5.986000061035156,0.0
feature.Seral.CWHvm_CW_HW_M.mature,6,60,10.0,0.0,10000.0,1.0,1.0,23.586000442504883,0.0
feature.Seral.CWHvm_CW_HW_M.mature,7,70,10.0,0.0,10000.0,1.0,1.0,30.78499984741211,0.0
feature.Seral.CWHvm_CW_HW_M.mature,8,80,10.0,0.0,10000.0,1.0,1.0,72.52999877929688,0.0
feature.Seral.CWHvm_CW_HW_M.mature,9,90,10.0,0.0,10000.0,1.0,1.0,98.16400146484375,0.0
feature.Seral.CWHvm_CW_HW_M.mature,10,100,10.0,0.0,10000.0,1.0,1.0,98.16400146484375,0.0
feature.Seral.CWHvm_CW_HW_M.mature,11,110,10.0,0.0,10000.0,1.0,1.0,86.20700073242188,0.0
feature.Seral.CWHvm_CW_HW_M.mature,12,120,10.0,0.0,10000.0,1.0,1.0,84.39099884033203,0.0
feature.Seral.CWHvm_CW_HW_M.mature,13,130,10.0,0.0,10000.0,1.0,1.0,84.39099884033203,0.0
feature.Seral.CWHvm_CW_HW_M.mature,14,140,10.0,0.0,10000.0,1.0,1.0,68.19100189208984,0.0
feature.Seral.CWHvm_CW_HW_M.mature,15,150,10.0,0.0,10000.0,1.0,1.0,58.79899978637695,0.0
feature.Seral.CWHvm_CW_HW_M.mature,16,160,10.0,0.0,10000.0,1.0,1.0,25.634000778198242,0.0
feature.Seral.CWHvm_CW_HW_M.mature,17,170,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_CW_HW_M.mature,18,180,10.0,0.0,10000.0,1.0,1.0,0.5870000123977661,0.0
feature.Seral.CWHvm_CW_HW_M.mature,19,190,10.0,0.0,10000.0,1.0,1.0,6.618000030517578,0.0
feature.Seral.CWHvm_CW_HW_M.mature,20,200,10.0,0.0,10000.0,1.0,1.0,6.031000137329102,0.0
feature.Seral.CWHvm_CW_HW_M.mature,21,210,10.0,0.0,10000.0,1.0,1.0,2.071000099182129,0.0
feature.Seral.CWHvm_CW_HW_M.mature,22,220,10.0,0.0,10000.0,1.0,1.0,2.071000099182129,0.0
feature.Seral.CWHvm_CW_HW_M.mature,23,230,10.0,0.0,10000.0,1.0,1.0,2.071000099182129,0.0
feature.Seral.CWHvm_CW_HW_M.mature,24,240,10.0,0.0,10000.0,1.0,1.0,13.029000282287598,0.0
feature.Seral.CWHvm_CW_HW_M.mature,25,250,10.0,0.0,10000.0,1.0,1.0,13.029000282287598,0.0
feature.Seral.CWHvm_CW_HW_M.mature,26,260,10.0,0.0,10000.0,1.0,1.0,13.029000282287598,0.0
feature.Seral.CWHvm_CW_HW_M.mature,27,270,10.0,0.0,10000.0,1.0,1.0,15.734999656677246,0.0
feature.Seral.CWHvm_CW_HW_M.mature,28,280,10.0,0.0,10000.0,1.0,1.0,16.0310001373291,0.0
feature.Seral.CWHvm_CW_HW_M.mature,29,290,10.0,0.0,10000.0,1.0,1.0,16.0310001373291,0.0
feature.Seral.CWHvm_CW_HW_M.mature,30,300,10.0,0.0,10000.0,1.0,1.0,13.324999809265137,0.0
