TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_FDC_HW_L.immature,0,0,10.0,0.0,10000.0,1.0,1.0,118.77999877929688,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,1,10,10.0,0.0,10000.0,1.0,1.0,118.77999877929688,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,2,20,10.0,0.0,10000.0,1.0,1.0,118.77999877929688,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,3,30,10.0,0.0,10000.0,1.0,1.0,118.77999877929688,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,4,40,10.0,0.0,10000.0,1.0,1.0,118.77999877929688,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,5,50,10.0,0.0,10000.0,1.0,1.0,118.77999877929688,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,6,60,10.0,0.0,10000.0,1.0,1.0,31.39299964904785,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,9,90,10.0,0.0,10000.0,1.0,1.0,13.138999938964844,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,10,100,10.0,0.0,10000.0,1.0,1.0,32.47800064086914,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,11,110,10.0,0.0,10000.0,1.0,1.0,32.47800064086914,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,12,120,10.0,0.0,10000.0,1.0,1.0,32.47800064086914,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,13,130,10.0,0.0,10000.0,1.0,1.0,32.47800064086914,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,14,140,10.0,0.0,10000.0,1.0,1.0,32.47800064086914,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,15,150,10.0,0.0,10000.0,1.0,1.0,35.948001861572266,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,16,160,10.0,0.0,10000.0,1.0,1.0,32.5890007019043,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,17,170,10.0,0.0,10000.0,1.0,1.0,32.5890007019043,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,18,180,10.0,0.0,10000.0,1.0,1.0,26.167999267578125,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,19,190,10.0,0.0,10000.0,1.0,1.0,6.828999996185303,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,20,200,10.0,0.0,10000.0,1.0,1.0,6.828999996185303,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,21,210,10.0,0.0,10000.0,1.0,1.0,6.828999996185303,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,22,220,10.0,0.0,10000.0,1.0,1.0,15.119999885559082,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,23,230,10.0,0.0,10000.0,1.0,1.0,23.857999801635742,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,24,240,10.0,0.0,10000.0,1.0,1.0,20.38800048828125,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,25,250,10.0,0.0,10000.0,1.0,1.0,20.38800048828125,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,26,260,10.0,0.0,10000.0,1.0,1.0,24.30500030517578,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,27,270,10.0,0.0,10000.0,1.0,1.0,39.8380012512207,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,28,280,10.0,0.0,10000.0,1.0,1.0,39.8380012512207,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,29,290,10.0,0.0,10000.0,1.0,1.0,42.154998779296875,0.0
feature.Seral.CWHvm_FDC_HW_L.immature,30,300,10.0,0.0,10000.0,1.0,1.0,26.167999267578125,0.0
