TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_CW_L,0,0,10.0,0.0,10000.0,1.0,1.0,42.92399978637695,0.0
feature.Area.og1.CWHvm_HW_CW_L,1,10,10.0,0.0,10000.0,1.0,1.0,40.64699935913086,0.0
feature.Area.og1.CWHvm_HW_CW_L,2,20,10.0,0.0,10000.0,1.0,1.0,40.64699935913086,0.0
feature.Area.og1.CWHvm_HW_CW_L,3,30,10.0,0.0,10000.0,1.0,1.0,40.64699935913086,0.0
feature.Area.og1.CWHvm_HW_CW_L,4,40,10.0,0.0,10000.0,1.0,1.0,40.64699935913086,0.0
feature.Area.og1.CWHvm_HW_CW_L,5,50,10.0,0.0,10000.0,1.0,1.0,40.654998779296875,0.0
feature.Area.og1.CWHvm_HW_CW_L,6,60,10.0,0.0,10000.0,1.0,1.0,37.18199920654297,0.0
feature.Area.og1.CWHvm_HW_CW_L,7,70,10.0,0.0,10000.0,1.0,1.0,29.0,0.0
feature.Area.og1.CWHvm_HW_CW_L,8,80,10.0,0.0,10000.0,1.0,1.0,29.520999908447266,0.0
feature.Area.og1.CWHvm_HW_CW_L,9,90,10.0,0.0,10000.0,1.0,1.0,30.042999267578125,0.0
feature.Area.og1.CWHvm_HW_CW_L,10,100,10.0,0.0,10000.0,1.0,1.0,30.565000534057617,0.0
feature.Area.og1.CWHvm_HW_CW_L,11,110,10.0,0.0,10000.0,1.0,1.0,31.07699966430664,0.0
feature.Area.og1.CWHvm_HW_CW_L,12,120,10.0,0.0,10000.0,1.0,1.0,31.229999542236328,0.0
feature.Area.og1.CWHvm_HW_CW_L,13,130,10.0,0.0,10000.0,1.0,1.0,31.229999542236328,0.0
feature.Area.og1.CWHvm_HW_CW_L,14,140,10.0,0.0,10000.0,1.0,1.0,31.229999542236328,0.0
feature.Area.og1.CWHvm_HW_CW_L,15,150,10.0,0.0,10000.0,1.0,1.0,28.280000686645508,0.0
feature.Area.og1.CWHvm_HW_CW_L,16,160,10.0,0.0,10000.0,1.0,1.0,24.086999893188477,0.0
feature.Area.og1.CWHvm_HW_CW_L,17,170,10.0,0.0,10000.0,1.0,1.0,24.086999893188477,0.0
feature.Area.og1.CWHvm_HW_CW_L,18,180,10.0,0.0,10000.0,1.0,1.0,24.086999893188477,0.0
feature.Area.og1.CWHvm_HW_CW_L,19,190,10.0,0.0,10000.0,1.0,1.0,24.086999893188477,0.0
feature.Area.og1.CWHvm_HW_CW_L,20,200,10.0,0.0,10000.0,1.0,1.0,24.086999893188477,0.0
feature.Area.og1.CWHvm_HW_CW_L,21,210,10.0,0.0,10000.0,1.0,1.0,25.39299964904785,0.0
feature.Area.og1.CWHvm_HW_CW_L,22,220,10.0,0.0,10000.0,1.0,1.0,26.8439998626709,0.0
feature.Area.og1.CWHvm_HW_CW_L,23,230,10.0,0.0,10000.0,1.0,1.0,28.29400062561035,0.0
feature.Area.og1.CWHvm_HW_CW_L,24,240,10.0,0.0,10000.0,1.0,1.0,29.746000289916992,0.0
feature.Area.og1.CWHvm_HW_CW_L,25,250,10.0,0.0,10000.0,1.0,1.0,31.195999145507812,0.0
feature.Area.og1.CWHvm_HW_CW_L,26,260,10.0,0.0,10000.0,1.0,1.0,32.64699935913086,0.0
feature.Area.og1.CWHvm_HW_CW_L,27,270,10.0,0.0,10000.0,1.0,1.0,32.79199981689453,0.0
feature.Area.og1.CWHvm_HW_CW_L,28,280,10.0,0.0,10000.0,1.0,1.0,24.086999893188477,0.0
feature.Area.og1.CWHvm_HW_CW_L,29,290,10.0,0.0,10000.0,1.0,1.0,24.086999893188477,0.0
feature.Area.og1.CWHvm_HW_CW_L,30,300,10.0,0.0,10000.0,1.0,1.0,25.260000228881836,0.0
