TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Height.managed.CWHvm_HW_SS_M,0,0,10.0,0.0,10000.0,1.0,1.0,24.709999084472656,0.0
feature.Height.managed.CWHvm_HW_SS_M,1,10,10.0,0.0,10000.0,1.0,1.0,28.506999969482422,0.0
feature.Height.managed.CWHvm_HW_SS_M,2,20,10.0,0.0,10000.0,1.0,1.0,32.303001403808594,0.0
feature.Height.managed.CWHvm_HW_SS_M,3,30,10.0,0.0,10000.0,1.0,1.0,36.099998474121094,0.0
feature.Height.managed.CWHvm_HW_SS_M,4,40,10.0,0.0,10000.0,1.0,1.0,39.89699935913086,0.0
feature.Height.managed.CWHvm_HW_SS_M,5,50,10.0,0.0,10000.0,1.0,1.0,43.17599868774414,0.0
feature.Height.managed.CWHvm_HW_SS_M,6,60,10.0,0.0,10000.0,1.0,1.0,46.9739990234375,0.0
feature.Height.managed.CWHvm_HW_SS_M,7,70,10.0,0.0,10000.0,1.0,1.0,50.770999908447266,0.0
feature.Height.managed.CWHvm_HW_SS_M,8,80,10.0,0.0,10000.0,1.0,1.0,54.569000244140625,0.0
feature.Height.managed.CWHvm_HW_SS_M,9,90,10.0,0.0,10000.0,1.0,1.0,58.36600112915039,0.0
feature.Height.managed.CWHvm_HW_SS_M,10,100,10.0,0.0,10000.0,1.0,1.0,62.1619987487793,0.0
feature.Height.managed.CWHvm_HW_SS_M,11,110,10.0,0.0,10000.0,1.0,1.0,65.95899963378906,0.0
feature.Height.managed.CWHvm_HW_SS_M,12,120,10.0,0.0,10000.0,1.0,1.0,69.75599670410156,0.0
feature.Height.managed.CWHvm_HW_SS_M,13,130,10.0,0.0,10000.0,1.0,1.0,73.55400085449219,0.0
feature.Height.managed.CWHvm_HW_SS_M,14,140,10.0,0.0,10000.0,1.0,1.0,77.3499984741211,0.0
feature.Height.managed.CWHvm_HW_SS_M,15,150,10.0,0.0,10000.0,1.0,1.0,81.14700317382812,0.0
feature.Height.managed.CWHvm_HW_SS_M,16,160,10.0,0.0,10000.0,1.0,1.0,72.1510009765625,0.0
feature.Height.managed.CWHvm_HW_SS_M,17,170,10.0,0.0,10000.0,1.0,1.0,75.947998046875,0.0
feature.Height.managed.CWHvm_HW_SS_M,18,180,10.0,0.0,10000.0,1.0,1.0,79.74400329589844,0.0
feature.Height.managed.CWHvm_HW_SS_M,19,190,10.0,0.0,10000.0,1.0,1.0,83.54199981689453,0.0
feature.Height.managed.CWHvm_HW_SS_M,20,200,10.0,0.0,10000.0,1.0,1.0,87.33999633789062,0.0
feature.Height.managed.CWHvm_HW_SS_M,21,210,10.0,0.0,10000.0,1.0,1.0,91.13700103759766,0.0
feature.Height.managed.CWHvm_HW_SS_M,22,220,10.0,0.0,10000.0,1.0,1.0,94.93399810791016,0.0
feature.Height.managed.CWHvm_HW_SS_M,23,230,10.0,0.0,10000.0,1.0,1.0,98.7300033569336,0.0
feature.Height.managed.CWHvm_HW_SS_M,24,240,10.0,0.0,10000.0,1.0,1.0,97.14099884033203,0.0
feature.Height.managed.CWHvm_HW_SS_M,25,250,10.0,0.0,10000.0,1.0,1.0,99.7509994506836,0.0
feature.Height.managed.CWHvm_HW_SS_M,26,260,10.0,0.0,10000.0,1.0,1.0,103.5479965209961,0.0
feature.Height.managed.CWHvm_HW_SS_M,27,270,10.0,0.0,10000.0,1.0,1.0,107.34500122070312,0.0
feature.Height.managed.CWHvm_HW_SS_M,28,280,10.0,0.0,10000.0,1.0,1.0,111.14199829101562,0.0
feature.Height.managed.CWHvm_HW_SS_M,29,290,10.0,0.0,10000.0,1.0,1.0,112.7509994506836,0.0
feature.Height.managed.CWHvm_HW_SS_M,30,300,10.0,0.0,10000.0,1.0,1.0,113.4219970703125,0.0
