TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_CW_H.immature,0,0,10.0,0.0,10000.0,1.0,1.0,35.507999420166016,0.0
feature.Seral.CWHvm_HW_CW_H.immature,1,10,10.0,0.0,10000.0,1.0,1.0,35.507999420166016,0.0
feature.Seral.CWHvm_HW_CW_H.immature,2,20,10.0,0.0,10000.0,1.0,1.0,35.507999420166016,0.0
feature.Seral.CWHvm_HW_CW_H.immature,3,30,10.0,0.0,10000.0,1.0,1.0,38.24800109863281,0.0
feature.Seral.CWHvm_HW_CW_H.immature,4,40,10.0,0.0,10000.0,1.0,1.0,38.24800109863281,0.0
feature.Seral.CWHvm_HW_CW_H.immature,5,50,10.0,0.0,10000.0,1.0,1.0,6.48199987411499,0.0
feature.Seral.CWHvm_HW_CW_H.immature,6,60,10.0,0.0,10000.0,1.0,1.0,2.740000009536743,0.0
feature.Seral.CWHvm_HW_CW_H.immature,7,70,10.0,0.0,10000.0,1.0,1.0,2.740000009536743,0.0
feature.Seral.CWHvm_HW_CW_H.immature,8,80,10.0,0.0,10000.0,1.0,1.0,6.315000057220459,0.0
feature.Seral.CWHvm_HW_CW_H.immature,9,90,10.0,0.0,10000.0,1.0,1.0,13.90999984741211,0.0
feature.Seral.CWHvm_HW_CW_H.immature,10,100,10.0,0.0,10000.0,1.0,1.0,16.259000778198242,0.0
feature.Seral.CWHvm_HW_CW_H.immature,11,110,10.0,0.0,10000.0,1.0,1.0,16.259000778198242,0.0
feature.Seral.CWHvm_HW_CW_H.immature,12,120,10.0,0.0,10000.0,1.0,1.0,21.530000686645508,0.0
feature.Seral.CWHvm_HW_CW_H.immature,13,130,10.0,0.0,10000.0,1.0,1.0,21.530000686645508,0.0
feature.Seral.CWHvm_HW_CW_H.immature,14,140,10.0,0.0,10000.0,1.0,1.0,21.530000686645508,0.0
feature.Seral.CWHvm_HW_CW_H.immature,15,150,10.0,0.0,10000.0,1.0,1.0,21.530000686645508,0.0
feature.Seral.CWHvm_HW_CW_H.immature,16,160,10.0,0.0,10000.0,1.0,1.0,16.363000869750977,0.0
feature.Seral.CWHvm_HW_CW_H.immature,17,170,10.0,0.0,10000.0,1.0,1.0,10.809000015258789,0.0
feature.Seral.CWHvm_HW_CW_H.immature,18,180,10.0,0.0,10000.0,1.0,1.0,33.025001525878906,0.0
feature.Seral.CWHvm_HW_CW_H.immature,19,190,10.0,0.0,10000.0,1.0,1.0,32.92100143432617,0.0
feature.Seral.CWHvm_HW_CW_H.immature,20,200,10.0,0.0,10000.0,1.0,1.0,32.92100143432617,0.0
feature.Seral.CWHvm_HW_CW_H.immature,21,210,10.0,0.0,10000.0,1.0,1.0,35.6609992980957,0.0
feature.Seral.CWHvm_HW_CW_H.immature,22,220,10.0,0.0,10000.0,1.0,1.0,41.66400146484375,0.0
feature.Seral.CWHvm_HW_CW_H.immature,23,230,10.0,0.0,10000.0,1.0,1.0,41.66400146484375,0.0
feature.Seral.CWHvm_HW_CW_H.immature,24,240,10.0,0.0,10000.0,1.0,1.0,39.435001373291016,0.0
feature.Seral.CWHvm_HW_CW_H.immature,25,250,10.0,0.0,10000.0,1.0,1.0,39.435001373291016,0.0
feature.Seral.CWHvm_HW_CW_H.immature,26,260,10.0,0.0,10000.0,1.0,1.0,10.335000038146973,0.0
feature.Seral.CWHvm_HW_CW_H.immature,27,270,10.0,0.0,10000.0,1.0,1.0,8.232000350952148,0.0
feature.Seral.CWHvm_HW_CW_H.immature,28,280,10.0,0.0,10000.0,1.0,1.0,4.760000228881836,0.0
feature.Seral.CWHvm_HW_CW_H.immature,29,290,10.0,0.0,10000.0,1.0,1.0,4.760000228881836,0.0
feature.Seral.CWHvm_HW_CW_H.immature,30,300,10.0,0.0,10000.0,1.0,1.0,7.5,0.0
