BLOCK,DELTA,AGE,TYPE,TREATMENT
1,43,100,MANAGED,CC
1,170,127,MANAGED,CC
2,72,129,MANAGED,CC
2,82,10,MANAGED,PCT
2,177,105,MANAGED,CC
2,187,10,MANAGED,PCT
2,298,121,MANAGED,CC
3,60,97,MANAGED,CC
3,180,120,MANAGED,CC
3,290,110,MANAGED,CC
4,150,207,MANAGED,CC
4,160,10,MANAGED,PCT
4,249,99,MANAGED,CC
5,60,107,MANAGED,CC
5,190,130,MANAGED,CC
6,200,287,MANAGED,CC
9,26,83,MANAGED,CC
9,36,10,MANAGED,PCT
9,115,89,MANAGED,CC
9,125,10,MANAGED,PCT
9,196,81,MANAGED,CC
9,206,10,MANAGED,PCT
9,290,94,MANAGED,CC
11,60,117,MANAGED,CC
11,150,90,MANAGED,CC
11,250,100,MANAGED,CC
12,64,111,MANAGED,CC
12,74,10,MANAGED,PCT
12,157,93,MANAGED,CC
12,167,10,MANAGED,PCT
12,278,121,MANAGED,CC
13,23,70,MANAGED,CC
13,33,10,MANAGED,PCT
13,135,112,MANAGED,CC
13,145,10,MANAGED,PCT
13,238,103,MANAGED,CC
15,11,138,MANAGED,CC
15,110,99,MANAGED,CC
15,209,99,MANAGED,CC
16,163,290,MANAGED,CC
17,41,108,MANAGED,CC
17,140,99,MANAGED,CC
17,237,97,MANAGED,CC
19,91,218,MANAGED,CC
19,220,129,MANAGED,CC
20,61,108,MANAGED,CC
20,146,85,MANAGED,CC
20,156,10,MANAGED,PCT
20,278,132,MANAGED,CC
21,24,91,MANAGED,CC
21,34,10,MANAGED,PCT
21,104,80,MANAGED,CC
21,114,10,MANAGED,PCT
21,177,73,MANAGED,CC
21,187,10,MANAGED,PCT
21,267,90,MANAGED,CC
22,25,82,MANAGED,CC
22,99,74,MANAGED,CC
22,109,10,MANAGED,PCT
22,191,92,MANAGED,CC
22,201,10,MANAGED,PCT
22,280,89,MANAGED,CC
23,71,198,MANAGED,CC
23,200,129,MANAGED,CC
25,49,106,MANAGED,CC
25,185,136,MANAGED,CC
25,280,95,MANAGED,CC
26,46,93,MANAGED,CC
26,56,10,MANAGED,PCT
26,139,93,MANAGED,CC
26,149,10,MANAGED,PCT
26,213,74,MANAGED,CC
26,223,10,MANAGED,PCT
26,290,77,MANAGED,CC
27,91,298,MANAGED,CC
27,220,129,MANAGED,CC
28,42,99,MANAGED,CC
28,52,10,MANAGED,PCT
28,130,88,MANAGED,CC
28,140,10,MANAGED,PCT
28,215,85,MANAGED,CC
28,225,10,MANAGED,PCT
28,300,85,MANAGED,CC
29,25,82,MANAGED,CC
29,35,10,MANAGED,PCT
29,104,79,MANAGED,CC
29,114,10,MANAGED,PCT
29,190,86,MANAGED,CC
29,200,10,MANAGED,PCT
29,270,80,MANAGED,CC
30,11,118,MANAGED,CC
30,100,89,MANAGED,CC
30,220,120,MANAGED,CC
33,86,213,MANAGED,CC
33,249,163,MANAGED,CC
34,1,238,MANAGED,CC
34,160,159,MANAGED,CC
34,290,130,MANAGED,CC
35,53,110,MANAGED,CC
35,63,10,MANAGED,PCT
35,144,91,MANAGED,CC
35,154,10,MANAGED,PCT
35,242,98,MANAGED,CC
36,42,89,MANAGED,CC
36,52,10,MANAGED,PCT
36,130,88,MANAGED,CC
36,140,10,MANAGED,PCT
36,215,85,MANAGED,CC
36,225,10,MANAGED,PCT
36,300,85,MANAGED,CC
37,11,138,MANAGED,CC
37,110,99,MANAGED,CC
37,210,100,MANAGED,CC
39,150,197,MANAGED,CC
39,256,106,MANAGED,CC
40,131,368,MANAGED,CC
40,240,109,MANAGED,CC
41,26,83,MANAGED,CC
41,36,10,MANAGED,PCT
41,116,90,MANAGED,CC
41,126,10,MANAGED,PCT
41,209,93,MANAGED,CC
41,219,10,MANAGED,PCT
41,299,90,MANAGED,CC
42,1,128,MANAGED,CC
42,82,81,MANAGED,CC
42,169,87,MANAGED,CC
42,249,80,MANAGED,CC
43,60,107,MANAGED,CC
43,170,110,MANAGED,CC
43,260,90,MANAGED,CC
44,22,79,MANAGED,CC
44,32,10,MANAGED,PCT
44,96,74,MANAGED,CC
44,106,10,MANAGED,PCT
44,186,90,MANAGED,CC
44,196,10,MANAGED,PCT
44,278,92,MANAGED,CC
45,1,108,MANAGED,CC
45,120,119,MANAGED,CC
45,210,90,MANAGED,CC
46,21,258,MANAGED,CC
46,140,119,MANAGED,CC
47,3,80,MANAGED,CC
47,191,188,MANAGED,CC
47,289,98,MANAGED,CC
48,91,134,MANAGED,CC
48,220,129,MANAGED,CC
49,141,188,MANAGED,CC
49,280,139,MANAGED,CC
50,1,238,MANAGED,CC
50,130,129,MANAGED,CC
50,240,110,MANAGED,CC
51,132,235,MANAGED,CC
51,240,108,MANAGED,CC
53,10,187,MANAGED,CC
53,140,130,MANAGED,CC
53,240,100,MANAGED,CC
54,60,107,MANAGED,CC
54,214,154,MANAGED,CC
56,61,108,MANAGED,CC
56,170,109,MANAGED,CC
57,60,107,MANAGED,CC
57,160,100,MANAGED,CC
57,280,120,MANAGED,CC
58,10,247,MANAGED,CC
58,159,149,MANAGED,CC
61,2,109,MANAGED,CC
61,12,10,MANAGED,PCT
61,87,85,MANAGED,CC
61,97,10,MANAGED,PCT
61,169,82,MANAGED,CC
61,179,10,MANAGED,PCT
61,250,81,MANAGED,CC
62,46,93,MANAGED,CC
62,56,10,MANAGED,PCT
62,131,85,MANAGED,CC
62,141,10,MANAGED,PCT
62,210,79,MANAGED,CC
62,220,10,MANAGED,PCT
62,290,80,MANAGED,CC
63,34,81,MANAGED,CC
63,44,10,MANAGED,PCT
63,124,90,MANAGED,CC
63,134,10,MANAGED,PCT
63,203,79,MANAGED,CC
63,213,10,MANAGED,PCT
63,290,87,MANAGED,CC
64,71,308,MANAGED,CC
64,200,129,MANAGED,CC
