TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Area.og1.CWHvm_HW_BA_M,0,0,10.0,0.0,10000.0,1.0,1.0,6.953999996185303,0.0
feature.Area.og1.CWHvm_HW_BA_M,1,10,10.0,0.0,10000.0,1.0,1.0,8.173999786376953,0.0
feature.Area.og1.CWHvm_HW_BA_M,2,20,10.0,0.0,10000.0,1.0,1.0,11.336000442504883,0.0
feature.Area.og1.CWHvm_HW_BA_M,3,30,10.0,0.0,10000.0,1.0,1.0,14.49899959564209,0.0
feature.Area.og1.CWHvm_HW_BA_M,4,40,10.0,0.0,10000.0,1.0,1.0,17.66200065612793,0.0
feature.Area.og1.CWHvm_HW_BA_M,5,50,10.0,0.0,10000.0,1.0,1.0,20.73200035095215,0.0
feature.Area.og1.CWHvm_HW_BA_M,6,60,10.0,0.0,10000.0,1.0,1.0,23.760000228881836,0.0
feature.Area.og1.CWHvm_HW_BA_M,7,70,10.0,0.0,10000.0,1.0,1.0,24.66900062561035,0.0
feature.Area.og1.CWHvm_HW_BA_M,8,80,10.0,0.0,10000.0,1.0,1.0,24.66900062561035,0.0
feature.Area.og1.CWHvm_HW_BA_M,9,90,10.0,0.0,10000.0,1.0,1.0,9.04800033569336,0.0
feature.Area.og1.CWHvm_HW_BA_M,10,100,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,11,110,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,12,120,10.0,0.0,10000.0,1.0,1.0,7.685999870300293,0.0
feature.Area.og1.CWHvm_HW_BA_M,13,130,10.0,0.0,10000.0,1.0,1.0,8.293999671936035,0.0
feature.Area.og1.CWHvm_HW_BA_M,14,140,10.0,0.0,10000.0,1.0,1.0,8.902000427246094,0.0
feature.Area.og1.CWHvm_HW_BA_M,15,150,10.0,0.0,10000.0,1.0,1.0,9.51099967956543,0.0
feature.Area.og1.CWHvm_HW_BA_M,16,160,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,17,170,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,18,180,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,19,190,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,20,200,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,21,210,10.0,0.0,10000.0,1.0,1.0,7.425000190734863,0.0
feature.Area.og1.CWHvm_HW_BA_M,22,220,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,23,230,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,24,240,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,25,250,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,26,260,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,27,270,10.0,0.0,10000.0,1.0,1.0,7.685999870300293,0.0
feature.Area.og1.CWHvm_HW_BA_M,28,280,10.0,0.0,10000.0,1.0,1.0,8.293999671936035,0.0
feature.Area.og1.CWHvm_HW_BA_M,29,290,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
feature.Area.og1.CWHvm_HW_BA_M,30,300,10.0,0.0,10000.0,1.0,1.0,7.138999938964844,0.0
