TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_CW_M.young,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_M.young,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_M.young,2,20,10.0,0.0,10000.0,1.0,1.0,11.081000328063965,0.0
feature.Seral.CWHvm_HW_CW_M.young,3,30,10.0,0.0,10000.0,1.0,1.0,11.081000328063965,0.0
feature.Seral.CWHvm_HW_CW_M.young,4,40,10.0,0.0,10000.0,1.0,1.0,5.089000225067139,0.0
feature.Seral.CWHvm_HW_CW_M.young,5,50,10.0,0.0,10000.0,1.0,1.0,5.089000225067139,0.0
feature.Seral.CWHvm_HW_CW_M.young,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_HW_CW_M.young,7,70,10.0,0.0,10000.0,1.0,1.0,5.568999767303467,0.0
feature.Seral.CWHvm_HW_CW_M.young,8,80,10.0,0.0,10000.0,1.0,1.0,8.269000053405762,0.0
feature.Seral.CWHvm_HW_CW_M.young,9,90,10.0,0.0,10000.0,1.0,1.0,8.17300033569336,0.0
feature.Seral.CWHvm_HW_CW_M.young,10,100,10.0,0.0,10000.0,1.0,1.0,5.4730000495910645,0.0
feature.Seral.CWHvm_HW_CW_M.young,11,110,10.0,0.0,10000.0,1.0,1.0,1.7109999656677246,0.0
feature.Seral.CWHvm_HW_CW_M.young,12,120,10.0,0.0,10000.0,1.0,1.0,11.281999588012695,0.0
feature.Seral.CWHvm_HW_CW_M.young,13,130,10.0,0.0,10000.0,1.0,1.0,10.053000450134277,0.0
feature.Seral.CWHvm_HW_CW_M.young,14,140,10.0,0.0,10000.0,1.0,1.0,3.1089999675750732,0.0
feature.Seral.CWHvm_HW_CW_M.young,15,150,10.0,0.0,10000.0,1.0,1.0,7.716000080108643,0.0
feature.Seral.CWHvm_HW_CW_M.young,16,160,10.0,0.0,10000.0,1.0,1.0,9.11299991607666,0.0
feature.Seral.CWHvm_HW_CW_M.young,17,170,10.0,0.0,10000.0,1.0,1.0,4.02400016784668,0.0
feature.Seral.CWHvm_HW_CW_M.young,18,180,10.0,0.0,10000.0,1.0,1.0,4.317999839782715,0.0
feature.Seral.CWHvm_HW_CW_M.young,19,190,10.0,0.0,10000.0,1.0,1.0,5.2729997634887695,0.0
feature.Seral.CWHvm_HW_CW_M.young,20,200,10.0,0.0,10000.0,1.0,1.0,0.9549999833106995,0.0
feature.Seral.CWHvm_HW_CW_M.young,21,210,10.0,0.0,10000.0,1.0,1.0,1.7109999656677246,0.0
feature.Seral.CWHvm_HW_CW_M.young,22,220,10.0,0.0,10000.0,1.0,1.0,16.7549991607666,0.0
feature.Seral.CWHvm_HW_CW_M.young,23,230,10.0,0.0,10000.0,1.0,1.0,15.043999671936035,0.0
feature.Seral.CWHvm_HW_CW_M.young,24,240,10.0,0.0,10000.0,1.0,1.0,2.627000093460083,0.0
feature.Seral.CWHvm_HW_CW_M.young,25,250,10.0,0.0,10000.0,1.0,1.0,3.6549999713897705,0.0
feature.Seral.CWHvm_HW_CW_M.young,26,260,10.0,0.0,10000.0,1.0,1.0,7.497000217437744,0.0
feature.Seral.CWHvm_HW_CW_M.young,27,270,10.0,0.0,10000.0,1.0,1.0,8.085000038146973,0.0
feature.Seral.CWHvm_HW_CW_M.young,28,280,10.0,0.0,10000.0,1.0,1.0,1.6160000562667847,0.0
feature.Seral.CWHvm_HW_CW_M.young,29,290,10.0,0.0,10000.0,1.0,1.0,0.9549999833106995,0.0
feature.Seral.CWHvm_HW_CW_M.young,30,300,10.0,0.0,10000.0,1.0,1.0,7.466000080108643,0.0
