TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,1,10,10.0,0.0,10000.0,1.0,1.0,30.35099983215332,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,2,20,10.0,0.0,10000.0,1.0,1.0,32.84600067138672,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,4,40,10.0,0.0,10000.0,1.0,1.0,5.159999847412109,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,5,50,10.0,0.0,10000.0,1.0,1.0,28.45800018310547,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,6,60,10.0,0.0,10000.0,1.0,1.0,37.926998138427734,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,7,70,10.0,0.0,10000.0,1.0,1.0,22.216999053955078,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,8,80,10.0,0.0,10000.0,1.0,1.0,7.2769999504089355,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,9,90,10.0,0.0,10000.0,1.0,1.0,15.178999900817871,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,12,120,10.0,0.0,10000.0,1.0,1.0,27.194000244140625,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,14,140,10.0,0.0,10000.0,1.0,1.0,4.577000141143799,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,15,150,10.0,0.0,10000.0,1.0,1.0,7.0980000495910645,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,17,170,10.0,0.0,10000.0,1.0,1.0,10.274999618530273,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,19,190,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,22,220,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,26,260,10.0,0.0,10000.0,1.0,1.0,50.99399948120117,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,29,290,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
