TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_CW_HW_M.mature,0,0,10.0,0.0,10000.0,1.0,1.0,7.53000020980835,0.0
feature.Seral.CWHvm_CW_HW_M.mature,1,10,10.0,0.0,10000.0,1.0,1.0,7.53000020980835,0.0
feature.Seral.CWHvm_CW_HW_M.mature,2,20,10.0,0.0,10000.0,1.0,1.0,7.53000020980835,0.0
feature.Seral.CWHvm_CW_HW_M.mature,3,30,10.0,0.0,10000.0,1.0,1.0,4.170000076293945,0.0
feature.Seral.CWHvm_CW_HW_M.mature,4,40,10.0,0.0,10000.0,1.0,1.0,5.985000133514404,0.0
feature.Seral.CWHvm_CW_HW_M.mature,5,50,10.0,0.0,10000.0,1.0,1.0,5.171999931335449,0.0
feature.Seral.CWHvm_CW_HW_M.mature,6,60,10.0,0.0,10000.0,1.0,1.0,22.77199935913086,0.0
feature.Seral.CWHvm_CW_HW_M.mature,7,70,10.0,0.0,10000.0,1.0,1.0,30.763999938964844,0.0
feature.Seral.CWHvm_CW_HW_M.mature,8,80,10.0,0.0,10000.0,1.0,1.0,49.54199981689453,0.0
feature.Seral.CWHvm_CW_HW_M.mature,9,90,10.0,0.0,10000.0,1.0,1.0,75.1760025024414,0.0
feature.Seral.CWHvm_CW_HW_M.mature,10,100,10.0,0.0,10000.0,1.0,1.0,75.1760025024414,0.0
feature.Seral.CWHvm_CW_HW_M.mature,11,110,10.0,0.0,10000.0,1.0,1.0,72.96499633789062,0.0
feature.Seral.CWHvm_CW_HW_M.mature,12,120,10.0,0.0,10000.0,1.0,1.0,72.9469985961914,0.0
feature.Seral.CWHvm_CW_HW_M.mature,13,130,10.0,0.0,10000.0,1.0,1.0,141.86099243164062,0.0
feature.Seral.CWHvm_CW_HW_M.mature,14,140,10.0,0.0,10000.0,1.0,1.0,130.41099548339844,0.0
feature.Seral.CWHvm_CW_HW_M.mature,15,150,10.0,0.0,10000.0,1.0,1.0,130.33099365234375,0.0
feature.Seral.CWHvm_CW_HW_M.mature,16,160,10.0,0.0,10000.0,1.0,1.0,113.22200012207031,0.0
feature.Seral.CWHvm_CW_HW_M.mature,17,170,10.0,0.0,10000.0,1.0,1.0,46.62699890136719,0.0
feature.Seral.CWHvm_CW_HW_M.mature,18,180,10.0,0.0,10000.0,1.0,1.0,37.46799850463867,0.0
feature.Seral.CWHvm_CW_HW_M.mature,19,190,10.0,0.0,10000.0,1.0,1.0,31.753999710083008,0.0
feature.Seral.CWHvm_CW_HW_M.mature,20,200,10.0,0.0,10000.0,1.0,1.0,45.957000732421875,0.0
feature.Seral.CWHvm_CW_HW_M.mature,21,210,10.0,0.0,10000.0,1.0,1.0,12.362000465393066,0.0
feature.Seral.CWHvm_CW_HW_M.mature,22,220,10.0,0.0,10000.0,1.0,1.0,3.3259999752044678,0.0
feature.Seral.CWHvm_CW_HW_M.mature,23,230,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_CW_HW_M.mature,24,240,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_CW_HW_M.mature,25,250,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_CW_HW_M.mature,26,260,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_CW_HW_M.mature,27,270,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_CW_HW_M.mature,28,280,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
feature.Seral.CWHvm_CW_HW_M.mature,29,290,10.0,0.0,10000.0,1.0,1.0,5.479000091552734,0.0
feature.Seral.CWHvm_CW_HW_M.mature,30,300,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
