TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
feature.Seral.CWHvm_HW_CW_L.immature,0,0,10.0,0.0,10000.0,1.0,1.0,5.122000217437744,0.0
feature.Seral.CWHvm_HW_CW_L.immature,1,10,10.0,0.0,10000.0,1.0,1.0,5.122000217437744,0.0
feature.Seral.CWHvm_HW_CW_L.immature,2,20,10.0,0.0,10000.0,1.0,1.0,5.122000217437744,0.0
feature.Seral.CWHvm_HW_CW_L.immature,3,30,10.0,0.0,10000.0,1.0,1.0,25.95800018310547,0.0
feature.Seral.CWHvm_HW_CW_L.immature,4,40,10.0,0.0,10000.0,1.0,1.0,22.900999069213867,0.0
feature.Seral.CWHvm_HW_CW_L.immature,5,50,10.0,0.0,10000.0,1.0,1.0,22.900999069213867,0.0
feature.Seral.CWHvm_HW_CW_L.immature,6,60,10.0,0.0,10000.0,1.0,1.0,22.900999069213867,0.0
feature.Seral.CWHvm_HW_CW_L.immature,7,70,10.0,0.0,10000.0,1.0,1.0,22.900999069213867,0.0
feature.Seral.CWHvm_HW_CW_L.immature,8,80,10.0,0.0,10000.0,1.0,1.0,22.900999069213867,0.0
feature.Seral.CWHvm_HW_CW_L.immature,9,90,10.0,0.0,10000.0,1.0,1.0,22.900999069213867,0.0
feature.Seral.CWHvm_HW_CW_L.immature,10,100,10.0,0.0,10000.0,1.0,1.0,42.49399948120117,0.0
feature.Seral.CWHvm_HW_CW_L.immature,11,110,10.0,0.0,10000.0,1.0,1.0,42.49399948120117,0.0
feature.Seral.CWHvm_HW_CW_L.immature,12,120,10.0,0.0,10000.0,1.0,1.0,42.49399948120117,0.0
feature.Seral.CWHvm_HW_CW_L.immature,13,130,10.0,0.0,10000.0,1.0,1.0,24.663000106811523,0.0
feature.Seral.CWHvm_HW_CW_L.immature,14,140,10.0,0.0,10000.0,1.0,1.0,24.663000106811523,0.0
feature.Seral.CWHvm_HW_CW_L.immature,15,150,10.0,0.0,10000.0,1.0,1.0,28.774999618530273,0.0
feature.Seral.CWHvm_HW_CW_L.immature,16,160,10.0,0.0,10000.0,1.0,1.0,28.774999618530273,0.0
feature.Seral.CWHvm_HW_CW_L.immature,17,170,10.0,0.0,10000.0,1.0,1.0,28.774999618530273,0.0
feature.Seral.CWHvm_HW_CW_L.immature,18,180,10.0,0.0,10000.0,1.0,1.0,32.619998931884766,0.0
feature.Seral.CWHvm_HW_CW_L.immature,19,190,10.0,0.0,10000.0,1.0,1.0,43.40999984741211,0.0
feature.Seral.CWHvm_HW_CW_L.immature,20,200,10.0,0.0,10000.0,1.0,1.0,27.97100067138672,0.0
feature.Seral.CWHvm_HW_CW_L.immature,21,210,10.0,0.0,10000.0,1.0,1.0,25.927000045776367,0.0
feature.Seral.CWHvm_HW_CW_L.immature,22,220,10.0,0.0,10000.0,1.0,1.0,22.900999069213867,0.0
feature.Seral.CWHvm_HW_CW_L.immature,23,230,10.0,0.0,10000.0,1.0,1.0,29.356000900268555,0.0
feature.Seral.CWHvm_HW_CW_L.immature,24,240,10.0,0.0,10000.0,1.0,1.0,40.42599868774414,0.0
feature.Seral.CWHvm_HW_CW_L.immature,25,250,10.0,0.0,10000.0,1.0,1.0,43.45199966430664,0.0
feature.Seral.CWHvm_HW_CW_L.immature,26,260,10.0,0.0,10000.0,1.0,1.0,43.71900177001953,0.0
feature.Seral.CWHvm_HW_CW_L.immature,27,270,10.0,0.0,10000.0,1.0,1.0,41.229000091552734,0.0
feature.Seral.CWHvm_HW_CW_L.immature,28,280,10.0,0.0,10000.0,1.0,1.0,32.92900085449219,0.0
feature.Seral.CWHvm_HW_CW_L.immature,29,290,10.0,0.0,10000.0,1.0,1.0,36.77399826049805,0.0
feature.Seral.CWHvm_HW_CW_L.immature,30,300,10.0,0.0,10000.0,1.0,1.0,24.542999267578125,0.0
