TARGET,PERIOD,YEAR,PERIODWIDTH,MINIMUM,MAXIMUM,MINWEIGHT,MAXWEIGHT,CURRENT,SUMMARY
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,0,0,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,1,10,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,2,20,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,3,30,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,4,40,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,5,50,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,6,60,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,7,70,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,8,80,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,9,90,10.0,0.0,10000.0,1.0,1.0,6.339000225067139,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,10,100,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,11,110,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,12,120,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,13,130,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,14,140,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,15,150,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,16,160,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,17,170,10.0,0.0,10000.0,1.0,1.0,23.709999084472656,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,18,180,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,19,190,10.0,0.0,10000.0,1.0,1.0,6.11899995803833,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,20,200,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,21,210,10.0,0.0,10000.0,1.0,1.0,0.0,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,22,220,10.0,0.0,10000.0,1.0,1.0,1.0010000467300415,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,23,230,10.0,0.0,10000.0,1.0,1.0,13.621999740600586,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,24,240,10.0,0.0,10000.0,1.0,1.0,2.5480000972747803,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,25,250,10.0,0.0,10000.0,1.0,1.0,18.128999710083008,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,26,260,10.0,0.0,10000.0,1.0,1.0,11.072999954223633,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,27,270,10.0,0.0,10000.0,1.0,1.0,4.763999938964844,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,28,280,10.0,0.0,10000.0,1.0,1.0,32.178001403808594,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,29,290,10.0,0.0,10000.0,1.0,1.0,20.21299934387207,0.0
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,30,300,10.0,0.0,10000.0,1.0,1.0,26.423999786376953,0.0
