BLOCK,TYPE,TRACK,OFFSET,AREA
1,unmanaged,1,57,1.35737
1,managed,2,57,6.687
2,unmanaged,3,57,0.230143
2,managed,4,57,5.668
3,unmanaged,5,37,0.61212
3,managed,6,37,1.34561
4,unmanaged,7,57,0.257449
4,managed,8,57,7.0982
5,unmanaged,9,47,3.31013
5,managed,10,47,1.89163
6,unmanaged,11,87,0.10699
6,managed,12,87,2.94986
7,unmanaged,14,57,6.3076
7,managed,15,57,81.079
8,unmanaged,16,277,0.76222
8,managed,17,277,21.0154
9,unmanaged,19,57,0.331238
9,managed,20,57,3.89602
10,unmanaged,16,307,0.241536
10,managed,17,307,6.6595
11,unmanaged,21,57,0.151494
11,managed,22,57,4.1769
12,unmanaged,23,47,0.122838
12,managed,24,47,2.48527
13,unmanaged,7,47,0.060907
13,managed,8,47,1.67929
14,unmanaged,25,47,1.65519
14,managed,26,47,44.794
15,unmanaged,27,127,0.098571
15,managed,28,127,2.71774
16,unmanaged,16,127,0.028749
16,managed,17,127,0.79265
17,unmanaged,30,67,0.74702
17,managed,31,67,2.4532
18,unmanaged,33,407,3.78907
18,managed,34,407,3.89829
19,unmanaged,36,127,0.53039
19,managed,37,127,0.93033
20,unmanaged,39,47,0.74051
20,managed,40,47,20.4169
21,unmanaged,41,67,0.84118
21,managed,42,67,15.6117
22,unmanaged,39,57,0.0475461
22,managed,40,57,1.31091
23,unmanaged,44,127,0.396377
23,managed,45,127,9.4733
24,unmanaged,47,277,9.797
25,unmanaged,48,57,0.147897
25,managed,49,57,1.95718
26,unmanaged,7,47,0.289672
26,managed,8,47,7.9867
27,unmanaged,50,207,0.412631
27,managed,51,207,2.23679
28,unmanaged,53,57,0.260535
28,managed,54,57,7.1833
29,unmanaged,7,57,0.0578
29,managed,8,57,1.59362
30,unmanaged,55,107,0.89043
30,managed,56,107,2.64924
31,unmanaged,58,357,3.02969
31,managed,59,357,3.16855
32,unmanaged,61,277,4.12556
32,managed,62,277,4.27702
33,unmanaged,64,127,0.122579
33,managed,65,127,3.37968
34,unmanaged,67,237,2.2237
34,managed,68,237,1.93015
35,unmanaged,7,57,0.147625
35,managed,8,57,4.07023
36,unmanaged,7,47,0.198773
36,managed,8,47,5.4805
37,unmanaged,70,127,0.198497
37,managed,71,127,5.4728
38,unmanaged,16,407,0.197804
38,managed,17,407,5.4538
39,unmanaged,73,47,0.81263
39,managed,18,47,22.4053
40,unmanaged,11,237,0.139305
40,managed,12,237,3.84085
41,unmanaged,7,57,0.09965
41,managed,8,57,2.74751
42,unmanaged,74,127,0.137096
42,managed,75,127,3.77992
43,unmanaged,76,47,0.125842
43,managed,66,47,3.46964
44,unmanaged,7,57,0.051058
44,managed,8,57,1.40774
45,unmanaged,74,107,0.090086
45,managed,75,107,2.4838
46,unmanaged,11,237,0.161173
46,managed,12,237,4.44377
47,unmanaged,74,77,0.194152
47,managed,75,77,5.3531
48,unmanaged,77,43,1.16049
48,managed,78,43,13.6277
49,unmanaged,79,47,1.0998
49,managed,80,47,8.7379
50,unmanaged,11,237,0.135918
50,managed,12,237,3.74747
51,unmanaged,27,103,0.51988
51,managed,28,103,14.3339
52,unmanaged,81,403,1.47337
52,managed,82,403,1.33964
53,unmanaged,84,177,2.0909
53,managed,85,177,1.26909
54,unmanaged,87,47,4.34184
54,managed,88,47,2.1447
55,unmanaged,89,277,5.4653
55,managed,90,277,3.66145
56,unmanaged,92,47,0.82347
56,managed,93,47,1.7238
57,unmanaged,94,47,0.68401
57,managed,95,47,5.1009
58,unmanaged,96,237,0.115089
58,managed,97,237,1.83518
59,unmanaged,99,357,1.38887
59,managed,100,357,0.0389676
60,unmanaged,102,307,6.3747
61,unmanaged,103,107,0.54072
61,managed,104,107,14.9085
62,unmanaged,7,47,0.091164
62,managed,8,47,2.51353
63,unmanaged,7,47,0.140498
63,managed,8,47,3.87373
64,unmanaged,16,237,0.023416
64,managed,17,237,0.64561
65,unmanaged,16,357,0.292123
65,managed,17,357,8.0543
66,unmanaged,105,57,1.43203
66,managed,106,57,2.35591
67,unmanaged,107,47,1.28991
67,managed,108,47,2.99465
68,unmanaged,109,57,1.24924
68,managed,110,57,17.7846
69,unmanaged,53,47,0.3135
69,managed,54,47,8.6436
70,unmanaged,16,127,0.0344626
70,managed,17,127,0.95018
71,unmanaged,27,127,0.080827
71,managed,28,127,2.22851
72,unmanaged,111,101,2.02966
72,managed,112,101,8.9233
73,unmanaged,64,261,0.0392901
73,managed,65,261,1.08328
74,unmanaged,114,57,1.95332
74,managed,115,57,2.77758
75,unmanaged,116,47,2.01806
75,managed,117,47,13.3799
76,unmanaged,74,237,0.13616
76,managed,75,237,3.75412
77,unmanaged,7,57,0.17436
77,managed,8,57,4.80735
78,unmanaged,118,47,2.88807
78,managed,119,47,2.87075
79,unmanaged,120,177,1.77651
79,managed,121,177,2.49625
80,unmanaged,123,127,1.1736
80,managed,124,127,1.19003
81,unmanaged,126,307,0.69506
81,managed,127,307,2.34388
82,unmanaged,129,57,1.1118
82,managed,29,57,30.654
83,unmanaged,130,77,0.221451
83,managed,131,77,1.71132
84,unmanaged,133,57,0.56765
84,managed,134,57,3.56153
85,unmanaged,7,57,0.0400753
85,managed,8,57,1.10493
86,unmanaged,11,97,0.072245
86,managed,12,97,1.9919
87,unmanaged,21,57,0.412291
87,managed,22,57,11.3675
88,unmanaged,47,307,2.80289
89,unmanaged,135,107,1.85033
89,managed,136,107,5.7125
90,unmanaged,7,57,0.268278
90,managed,8,57,7.3968
91,unmanaged,76,47,0.262908
91,managed,66,47,7.2487
92,unmanaged,138,237,0.182359
92,managed,139,237,2.86096
93,unmanaged,141,237,0.197804
93,managed,142,237,2.86349
94,unmanaged,144,307,0.5703
94,managed,145,307,5.9812
95,unmanaged,7,57,0.187131
95,managed,8,57,5.1595
96,unmanaged,147,47,3.46079
96,managed,148,47,21.2617
97,unmanaged,7,57,0.094155
97,managed,8,57,2.59598
98,unmanaged,149,237,3.17628
98,managed,150,237,2.89261
99,unmanaged,70,107,0.058595
99,managed,71,107,1.61554
100,unmanaged,47,357,11.0588
101,unmanaged,53,47,0.71177
101,managed,54,47,19.6244
102,unmanaged,7,47,0.68526
102,managed,8,47,18.8937
103,unmanaged,152,237,0.54056
103,managed,153,237,3.16668
104,unmanaged,155,237,10.5782
104,managed,156,237,0.10685
105,unmanaged,158,57,2.93852
105,managed,159,57,1.39647
106,unmanaged,16,65,0.616
106,managed,17,65,16.9839
107,unmanaged,16,357,0.09679
107,managed,17,357,2.66863
108,unmanaged,7,47,0.98631
108,managed,8,47,27.1939
109,unmanaged,7,57,1.18495
109,managed,8,57,32.6707
110,unmanaged,160,67,1.56405
110,managed,161,67,5.5964
111,unmanaged,163,307,5.2936
111,managed,164,307,2.4063
112,unmanaged,166,47,2.67117
112,managed,167,47,3.50935
113,unmanaged,168,47,3.48601
113,managed,169,47,37.4118
114,unmanaged,21,47,0.16844
114,managed,22,47,4.64414
115,unmanaged,73,37,0.88255
115,managed,18,37,24.3332
116,unmanaged,170,107,1.78334
116,managed,171,107,2.6272
117,unmanaged,173,307,4.08866
117,managed,174,307,1.89494
118,unmanaged,176,277,1.92311
118,managed,177,277,0.84578
119,unmanaged,179,57,0.402472
119,managed,180,57,4.40427
120,unmanaged,181,57,1.37294
120,managed,182,57,28.2309
121,unmanaged,183,57,0.64691
121,managed,184,57,1.07728
122,unmanaged,185,127,0.419684
122,managed,186,127,2.72739
123,unmanaged,188,47,2.53968
123,managed,189,47,0.170484
124,unmanaged,190,457,3.12538
124,managed,191,457,4.1711
125,unmanaged,70,107,0.0372924
125,managed,71,107,1.0282
126,unmanaged,193,47,0.149544
126,managed,194,47,3.59301
127,unmanaged,195,47,0.270288
127,managed,196,47,6.5355
128,unmanaged,197,57,1.31099
128,managed,198,57,3.94746
129,unmanaged,64,127,0.437506
129,managed,65,127,12.0627
130,unmanaged,64,197,0.333624
130,managed,65,197,9.1985
131,unmanaged,70,237,0.058679
131,managed,71,237,1.61787
132,unmanaged,199,107,0.232988
132,managed,200,107,2.88464
133,unmanaged,202,57,2.52068
133,managed,203,57,3.48649
134,unmanaged,21,47,0.123179
134,managed,22,47,3.39621
135,unmanaged,204,57,1.54302
135,managed,205,57,6.5181
136,unmanaged,39,57,0.485159
136,managed,40,57,13.3765
137,unmanaged,206,47,0.54735
137,managed,207,47,5.5555
138,unmanaged,208,57,0.63179
138,managed,209,57,1.37987
139,unmanaged,76,47,0.091256
139,managed,66,47,2.51607
140,unmanaged,53,53,0.114897
140,managed,54,53,3.16786
141,unmanaged,210,57,0.65455
141,managed,211,57,1.76907
142,unmanaged,212,233,4.62459
142,managed,213,233,1.07165
143,unmanaged,47,307,7.1782
144,unmanaged,16,357,0.211564
144,managed,17,357,5.8331
145,unmanaged,215,107,0.294043
145,managed,216,107,6.2867
146,unmanaged,39,57,0.66207
146,managed,40,57,18.2543
147,unmanaged,7,57,0.167445
147,managed,8,57,4.6167
148,unmanaged,7,47,0.103887
148,managed,8,47,2.86432
149,unmanaged,7,47,0.223834
149,managed,8,47,6.1714
150,unmanaged,16,87,0.063545
150,managed,17,87,1.75202
151,unmanaged,7,47,0.086971
151,managed,8,47,2.39792
152,unmanaged,218,47,3.58016
152,managed,219,47,6.1008
153,unmanaged,74,127,0.62383
153,managed,75,127,17.1997
154,unmanaged,220,67,4.23428
154,managed,221,67,20.2677
155,unmanaged,223,127,2.00131
155,managed,224,127,14.3007
156,unmanaged,102,307,15.4116
157,unmanaged,226,357,2.38038
157,managed,227,357,1.81543
158,unmanaged,16,357,0.57634
158,managed,17,357,15.8905
159,unmanaged,229,107,0.63608
159,managed,230,107,17.5377
160,unmanaged,232,277,5.2797
160,managed,233,277,0.05333
161,unmanaged,235,127,0.188429
161,managed,236,127,4.26187
162,unmanaged,39,59,0.60426
162,managed,40,59,16.6602
163,unmanaged,238,57,0.441296
163,managed,239,57,0.94102
164,unmanaged,240,107,0.71947
164,managed,241,107,5.683
165,unmanaged,243,127,0.293605
165,managed,244,127,7.0134
166,unmanaged,73,47,0.227682
166,managed,18,47,6.2775
167,unmanaged,53,57,0.40169
167,managed,54,57,11.0752
168,unmanaged,103,107,0.172805
168,managed,104,107,4.76449
169,unmanaged,246,57,0.125231
169,managed,247,57,3.45281
170,unmanaged,103,103,0.64103
170,managed,104,103,17.6742
171,unmanaged,248,307,1.5914
171,managed,249,307,0.80877
172,unmanaged,11,247,0.179814
172,managed,12,247,4.95773
173,unmanaged,251,177,1.19581
173,managed,252,177,10.7349
174,unmanaged,254,307,1.76902
174,managed,255,307,3.10836
175,unmanaged,39,57,0.258723
175,managed,40,57,7.1334
176,unmanaged,103,127,0.125354
176,managed,104,127,3.4562
177,unmanaged,27,127,0.101512
177,managed,28,127,2.79883
178,unmanaged,257,57,0.226418
178,managed,258,57,3.30625
179,unmanaged,259,307,2.28557
179,managed,260,307,0.229618
180,unmanaged,262,47,0.169924
180,managed,263,47,4.68505
181,unmanaged,21,57,0.52188
181,managed,22,57,14.3888
182,unmanaged,264,127,0.331493
182,managed,265,127,4.995
183,unmanaged,7,47,0.467006
183,managed,8,47,12.876
184,unmanaged,267,57,0.459547
184,managed,268,57,10.6647
185,unmanaged,73,37,0.0146203
185,managed,18,37,0.403103
186,unmanaged,269,277,8.7163
186,managed,270,277,0.53491
187,unmanaged,272,77,0.51564
187,managed,273,77,3.35915
188,unmanaged,53,47,0.81658
188,managed,54,47,22.5143
189,unmanaged,7,47,0.237243
189,managed,8,47,6.5411
190,unmanaged,275,47,0.52936
190,managed,276,47,1.07864
191,unmanaged,277,57,0.97978
191,managed,278,57,12.2121
192,unmanaged,279,57,0.84418
192,managed,280,57,21.0983
193,unmanaged,281,57,1.68389
193,managed,282,57,14.3071
194,unmanaged,16,307,0.192724
194,managed,17,307,5.3137
195,unmanaged,283,357,3.74602
195,managed,284,357,1.73624
196,unmanaged,286,67,0.206427
196,managed,287,67,5.6915
197,unmanaged,288,127,2.01559
197,managed,289,127,13.1772
198,unmanaged,291,47,0.73725
198,managed,292,47,1.31742
199,unmanaged,74,157,0.224098
199,managed,75,157,6.1787
200,unmanaged,16,237,0.075097
200,managed,17,237,2.07054
201,unmanaged,16,307,0.065091
201,managed,17,307,1.79465
202,unmanaged,293,57,2.96864
202,managed,294,57,7.79
203,unmanaged,74,77,0.118636
203,managed,75,77,3.27097
204,unmanaged,21,57,0.297477
204,managed,22,57,8.2019
205,unmanaged,70,107,0.184556
205,managed,71,107,5.0885
206,unmanaged,103,107,0.382387
206,managed,104,107,10.543
207,unmanaged,7,57,0.57694
207,managed,8,57,15.907
208,unmanaged,7,47,0.371934
208,managed,8,47,10.2548
209,unmanaged,70,307,0.15282
209,managed,71,307,4.21348
210,unmanaged,295,127,1.51095
210,managed,296,127,5.4462
211,unmanaged,298,127,0.178632
211,managed,299,127,3.44762
212,unmanaged,301,77,3.05205
212,managed,302,77,8.9358
213,unmanaged,7,57,0.13408
213,managed,8,57,3.69677
214,unmanaged,47,357,4.97815
215,unmanaged,16,277,0.323502
215,managed,17,277,8.9194
216,unmanaged,74,107,0.035392
216,managed,75,107,0.97581
217,unmanaged,73,57,0.279713
217,managed,18,57,7.7121
218,unmanaged,27,127,0.419808
218,managed,28,127,11.5747
