CURVE,X,Y
268,0,0.1
1268,0,0.13
478,0,0.13
413,0,0.15
1472,0,0.17
1022,0,0.18
420,0,0.15
162,0,0.18
1864,0,0.19
603,0,0.19
597,0,0.19
267,0,0.2
156,0,0.18
41,0,0.15
17,0,0.1
697,0,0.21
668,0,0.23
1177,0,0.25
1050,0,0.23
516,0,0.23
1470,0,0.26
905,0,0.3
3615,0,0.32
1695,0,0.32
1471,0,0.34
1462,0,0.39
900,0,0.3
696,0,0.28
1290,0,0.39
695,0,0.51
414,0,0.6
252,0,0.39
43,0,0.25
843,0,0.61
421,0,0.6
3614,0,0.68
1694,0,0.68
1457,0,0.61
253,0,0.61
117,0,0.7
42,0,0.6
18,0,0.2
11,0,0.2
2286,0,0.8
1055,0,0.77
1934,0,0.8
989,0,0.81
645,0,0.8
2363,0,0.81
2058,0,0.82
598,0,0.81
522,0,0.77
517,0,0.77
955,0,0.82
1989,0,0.85
742,0,0.85
736,0,0.85
492,0,0.87
1263,0,0.87
483,0,1
490,0,1
490,5,1
490,6,0
479,0,0.87
157,0,0.82
92,0,0.7
10,0,0.7
9,0,0.1
379,50,0
379,51,1
379,52,0
390,60,0
390,61,1
390,62,0
1219,65,0
1219,66,1
1219,67,0
228,65,0
228,66,1
228,67,0
1208,55,0
1208,56,1
1208,57,0
217,55,0
217,56,1
217,57,0
71,39,0
1307,39,0
1307,40,0.1
1307,41,0
1194,39,0
1194,40,0.15
1194,41,0
862,39,0
862,40,0.1
862,41,0
282,39,0
282,40,0.1
282,41,0
434,39,0
434,40,0.15
434,41,0
1306,39,0
1306,40,0.2
1306,41,0
1196,39,0
1196,40,0.25
1196,41,0
861,39,0
861,40,0.2
861,41,0
281,39,0
281,40,0.2
281,41,0
1195,39,0
1195,40,0.6
1195,41,0
74,39,0
74,40,0.25
74,41,0
2864,39,0
2864,40,0.7
2864,41,0
435,39,0
435,40,0.6
435,41,0
2230,39,0
2230,40,0.7
2230,41,0
1197,39,0
1197,40,1
1197,41,0
278,39,0
278,40,0.7
278,41,0
2416,39,0
2416,40,1.3
2416,41,0
1192,39,0
1192,40,4.6
1192,41,0
277,39,0
277,40,1.3
277,41,0
2161,39,0
2161,40,6.6
2161,41,0
1813,39,0
1813,40,4.6
1813,41,0
1193,39,0
1193,40,7.7
1193,41,0
556,39,0
556,40,6.6
556,41,0
279,39,0
279,40,6.6
279,41,0
