CURVE,X,Y
1003,0,0.3
1003,1,0.3
1003,10,3.3
1003,20,6.5
1003,30,9.8
1003,40,13
1003,60,19.6
1003,70,22.8
1003,80,26.1
1003,90,29.3
1003,110,35.9
1003,120,39.1
1003,130,42.4
1003,140,45.6
1003,160,52.2
1003,170,55.4
1003,180,58.7
1003,190,61.9
1003,210,68.5
1003,220,71.7
1003,230,75
1003,240,78.2
1003,260,84.8
1003,270,88
1003,280,91.3
1003,290,94.5
1003,299,97.5
741,0,0.2
741,1,0.2
741,10,1.9
741,20,3.9
741,30,5.8
741,40,7.8
741,60,11.6
741,70,13.6
741,80,15.5
741,90,17.5
741,110,21.3
741,120,23.3
741,130,25.2
741,140,27.2
741,160,31
741,170,33
741,180,34.9
741,190,36.9
741,210,40.7
741,220,42.7
741,230,44.6
741,240,46.6
741,260,50.4
741,270,52.4
741,280,54.3
741,290,56.3
741,299,58
382,0,0.2
382,1,0.2
382,10,1.7
382,290,49.3
382,299,50.8
1869,0,0.4
1869,1,0.4
1869,10,4.1
1869,290,118.9
1869,299,122.6
1346,0,0.4
1346,1,0.4
1346,10,4.1
1346,290,118.9
1346,299,122.6
700,0,0.3
700,1,0.3
700,10,3.2
700,290,92.8
700,299,95.7
1255,0,0.3
1255,1,0.3
1255,10,3.3
1255,20,6.5
1255,30,9.8
1255,40,13
1255,60,19.6
1255,70,22.8
1255,80,26.1
1255,90,29.3
1255,110,35.9
1255,120,39.1
1255,130,42.4
1255,140,45.6
1255,160,52.2
1255,170,55.4
1255,180,58.7
1255,190,61.9
1255,210,68.5
1255,220,71.7
1255,230,75
1255,240,78.2
1255,260,84.8
1255,270,88
1255,280,91.3
1255,290,94.5
1255,299,97.5
660,0,0.3
660,1,0.3
660,10,3.3
660,20,6.5
660,30,9.8
660,40,13
660,60,19.6
660,70,22.8
660,80,26.1
660,90,29.3
660,110,35.9
660,120,39.1
660,130,42.4
660,140,45.6
660,160,52.2
660,170,55.4
660,180,58.7
660,190,61.9
660,210,68.5
660,220,71.7
660,230,75
660,240,78.2
660,260,84.8
660,270,88
660,280,91.3
660,290,94.5
660,299,97.5
548,0,0.3
548,1,0.3
548,10,3.3
548,20,6.5
548,30,9.8
548,40,13
548,60,19.6
548,70,22.8
548,80,26.1
548,90,29.3
548,110,35.9
548,120,39.1
548,130,42.4
548,140,45.6
548,160,52.2
548,170,55.4
548,180,58.7
548,190,61.9
548,210,68.5
548,220,71.7
548,230,75
548,240,78.2
548,260,84.8
548,270,88
548,280,91.3
548,290,94.5
548,299,97.5
520,0,0.3
520,1,0.3
520,10,3.3
520,20,6.5
520,30,9.8
520,40,13
520,60,19.6
520,70,22.8
520,80,26.1
520,90,29.3
520,110,35.9
520,120,39.1
520,130,42.4
520,140,45.6
520,160,52.2
520,170,55.4
520,180,58.7
520,190,61.9
520,210,68.5
520,220,71.7
520,230,75
520,240,78.2
520,260,84.8
520,270,88
520,280,91.3
520,290,94.5
520,299,97.5
835,0,0.3
835,1,0.3
835,10,3.2
835,290,92.8
835,299,95.7
737,0,0.3
737,1,0.3
737,10,3.2
737,290,92.8
737,299,95.7
545,0,0.3
545,1,0.3
545,10,3.2
545,290,92.8
545,299,95.7
734,0,0.3
734,1,0.3
734,10,3.2
734,290,92.8
734,299,95.7
676,0,0.3
676,1,0.3
676,10,3.2
676,290,92.8
676,299,95.7
174,0,0.3
174,1,0.3
174,10,3.2
174,290,92.8
174,299,95.7
1649,0,0.3
1649,1,0.3
1649,10,3.3
1649,20,6.5
1649,30,9.8
1649,40,13
1649,60,19.6
1649,70,22.8
1649,80,26.1
1649,90,29.3
1649,110,35.9
1649,120,39.1
1649,130,42.4
1649,140,45.6
1649,160,52.2
1649,170,55.4
1649,180,58.7
1649,190,61.9
1649,210,68.5
1649,220,71.7
1649,230,75
1649,240,78.2
1649,260,84.8
1649,270,88
1649,280,91.3
1649,290,94.5
1649,299,97.5
1089,0,0.3
1089,1,0.3
1089,10,3.3
1089,20,6.5
1089,30,9.8
1089,40,13
1089,60,19.6
1089,70,22.8
1089,80,26.1
1089,90,29.3
1089,110,35.9
1089,120,39.1
1089,130,42.4
1089,140,45.6
1089,160,52.2
1089,170,55.4
1089,180,58.7
1089,190,61.9
1089,210,68.5
1089,220,71.7
1089,230,75
1089,240,78.2
1089,260,84.8
1089,270,88
1089,280,91.3
1089,290,94.5
1089,299,97.5
1642,0,0.3
1642,1,0.3
1642,10,3.3
1642,20,6.5
1642,30,9.8
1642,40,13
1642,60,19.6
1642,70,22.8
1642,80,26.1
1642,90,29.3
1642,110,35.9
1642,120,39.1
1642,130,42.4
1642,140,45.6
1642,160,52.2
1642,170,55.4
1642,180,58.7
1642,190,61.9
1642,210,68.5
1642,220,71.7
1642,230,75
1642,240,78.2
1642,260,84.8
1642,270,88
1642,280,91.3
1642,290,94.5
1642,299,97.5
126,0,0.3
126,1,0.3
126,10,3.3
126,20,6.5
126,30,9.8
126,40,13
126,60,19.6
126,70,22.8
126,80,26.1
126,90,29.3
126,110,35.9
126,120,39.1
126,130,42.4
126,140,45.6
126,160,52.2
126,170,55.4
126,180,58.7
126,190,61.9
126,210,68.5
126,220,71.7
126,230,75
126,240,78.2
126,260,84.8
126,270,88
126,280,91.3
126,290,94.5
126,299,97.5
1414,0,0.4
1414,1,0.4
1414,10,4.1
1414,290,118.9
1414,299,122.6
1251,0,0.4
1251,1,0.4
1251,10,4.1
1251,290,118.9
1251,299,122.6
953,0,0.4
953,1,0.4
953,10,4.1
953,290,118.9
953,299,122.6
1713,0,0.5
1713,1,0.5
1713,10,4.8
1713,20,9.6
1713,30,14.3
1713,70,33.5
1713,80,38.2
1713,120,57.4
1713,130,62.1
1713,170,81.3
1713,180,86
1713,220,105.2
1713,230,109.9
1713,270,129.1
1713,280,133.8
1713,290,138.6
1713,299,142.9
1011,0,0.5
1011,1,0.5
1011,10,4.8
1011,20,9.6
1011,30,14.3
1011,70,33.5
1011,80,38.2
1011,120,57.4
1011,130,62.1
1011,170,81.3
1011,180,86
1011,220,105.2
1011,230,109.9
1011,270,129.1
1011,280,133.8
1011,290,138.6
1011,299,142.9
419,0,0.5
419,1,0.5
419,10,4.8
419,20,9.6
419,30,14.3
419,70,33.5
419,80,38.2
419,120,57.4
419,130,62.1
419,170,81.3
419,180,86
419,220,105.2
419,230,109.9
419,270,129.1
419,280,133.8
419,290,138.6
419,299,142.9
537,0,0.4
537,1,0.4
537,10,4.1
537,290,118.9
537,299,122.6
1093,0,0.4
1093,1,0.4
1093,10,4.1
1093,290,118.9
1093,299,122.6
325,0,0.4
325,1,0.4
325,10,4.1
325,290,118.9
325,299,122.6
67,0,0.4
67,1,0.4
67,10,4.1
67,290,118.9
67,299,122.6
961,0,0.6
961,1,0.6
961,10,6.3
961,20,12.6
961,30,18.8
961,70,44
961,80,50.2
961,120,75.4
961,130,81.6
961,170,106.8
961,180,113
961,220,138.2
961,230,144.4
961,270,169.6
961,280,175.8
961,290,182.1
961,299,187.8
879,0,0.6
879,1,0.6
879,10,6.3
879,20,12.6
879,30,18.8
879,70,44
879,80,50.2
879,120,75.4
879,130,81.6
879,170,106.8
879,180,113
879,220,138.2
