CURVE,X,Y
25,0,0.1
480,0,0.15
277,0,0.13
271,0,0.13
121,0,0.1
859,0,0.17
606,0,0.18
258,0,0.15
629,0,0.19
359,0,0.19
353,0,0.19
141,0,0.18
49,0,0.15
26,0,0.2
425,0,0.21
308,0,0.23
597,0,0.25
400,0,0.23
302,0,0.23
122,0,0.2
1248,0,0.26
857,0,0.26
1754,0,0.3
2087,0,0.32
1994,0,0.3
912,0,0.32
858,0,0.34
585,0,0.3
424,0,0.28
333,0,0.39
562,0,0.39
1763,0,0.6
423,0,0.51
190,0,0.39
51,0,0.25
334,0,0.61
259,0,0.6
917,0,0.68
911,0,0.68
563,0,0.61
191,0,0.61
83,0,0.7
50,0,0.6
11,0,0.2
309,0,0.77
1630,0,0.77
1304,0,0.8
1086,0,0.8
390,0,0.8
360,0,0.81
607,0,0.82
354,0,0.81
303,0,0.77
154,0,0.7
612,0,0.82
2072,0,0.87
1107,0,0.85
481,0,0.85
528,0,0.87
272,0,0.87
142,0,0.82
16,0,1
23,0,1
23,5,1
23,6,0
10,0,0.7
9,0,0.1
232,79,0
502,79,0
502,80,0.1
722,79,0
722,80,0.13
296,79,0
296,80,0.1
1703,79,0
1703,80,0.15
501,79,0
501,80,0.2
493,79,0
493,80,0.15
287,79,0
287,80,0.13
234,79,0
234,80,0.1
1644,79,0
1644,80,0.23
663,79,0
663,80,0.23
329,79,0
329,80,0.7
320,79,0
320,80,0.23
297,79,0
297,80,0.7
295,79,0
295,80,0.2
2079,79,0
2079,80,0.87
1704,79,0
1704,80,0.85
494,79,0
494,80,0.85
411,79,0
411,80,0.77
321,79,0
321,80,0.77
536,79,0
536,80,0.87
322,79,0
322,80,1
317,79,0
317,80,1
317,100,1
317,101,0
288,79,0
288,80,0.87
235,79,0
235,80,0.7
233,79,0
233,80,0.2
662,79,0
662,80,30.9
662,110,35.4
662,120,36.7
662,140,39.1
236,79,0
236,80,1
229,79,0
229,80,1
229,100,1
229,101,0
1084,79,0
1084,80,30.9
1084,110,35.4
1084,120,36.7
1084,140,39.1
891,79,0
891,80,30.9
891,110,35.4
891,120,36.7
891,140,39.1
719,79,0
719,80,31.9
719,100,35.3
719,120,38.3
719,130,39.7
1788,79,0
1788,80,35.1
1788,90,37.2
1788,100,39.4
1641,79,0
1641,80,35.1
1641,90,37.2
1641,100,39.4
1591,79,0
1591,80,31.9
1591,100,35.3
1591,120,38.3
1591,130,39.7
1446,79,0
1446,80,31.9
1446,100,35.3
1446,120,38.3
1446,130,39.7
1709,79,0
1709,80,50.4
1709,90,57.5
1709,100,64.2
1709,110,70.2
1709,120,75.7
1709,130,80.9
1709,140,85.6
2084,79,0
2084,80,58.1
2084,90,66.3
2084,100,73.8
2084,110,80.7
2084,120,87.1
2084,130,92.9
727,79,0
727,80,58.1
727,90,66.3
727,100,73.8
727,110,80.7
727,120,87.1
727,130,92.9
1053,79,0
1053,80,58.1
1053,90,66.3
1053,100,73.8
1053,110,80.7
1053,120,87.1
1053,130,92.9
1007,79,0
1007,80,58.1
1007,90,66.3
1007,100,73.8
1007,110,80.7
1007,120,87.1
1007,130,92.9
1596,79,0
1596,80,58.1
1596,90,66.3
1596,100,73.8
1596,110,80.7
1596,120,87.1
1596,130,92.9
1666,79,0
1666,80,58.1
1666,90,66.3
1666,100,73.8
1666,110,80.7
1666,120,87.1
1666,130,92.9
541,79,0
541,80,58.1
541,90,66.3
541,100,73.8
541,110,80.7
541,120,87.1
541,130,92.9
1724,79,0
1724,80,50.4
1724,90,57.5
1724,100,64.2
1724,110,70.2
1724,120,75.7
1724,130,80.9
1724,140,85.6
499,79,0
499,80,50.4
499,90,57.5
499,100,64.2
499,110,70.2
499,120,75.7
499,130,80.9
499,140,85.6
1878,79,0
1878,80,60.4
1878,90,68.8
1878,100,76.9
1878,110,84
1878,120,90.7
1878,130,96.8
1878,140,102.5
1626,79,0
1626,80,60.4
1626,90,68.8
1626,100,76.9
1626,110,84
1626,120,90.7
1626,130,96.8
1626,140,102.5
2044,79,0
2044,80,60.4
2044,90,68.8
2044,100,76.9
2044,110,84
2044,120,90.7
2044,130,96.8
2044,140,102.5
463,79,0
463,80,60.4
463,90,68.8
463,100,76.9
463,110,84
463,120,90.7
463,130,96.8
463,140,102.5
416,79,0
416,80,60.4
