CURVE,X,Y
28,0,0.1
157,0,0.1
332,0,0.15
60,0,0.15
29,0,0.2
480,0,0.25
158,0,0.2
964,0,0.3
964,1,0.3
964,10,3.2
964,290,92.8
964,299,95.7
688,0,0.3
688,1,0.3
688,10,3.3
688,20,6.5
688,30,9.8
688,40,13
688,60,19.6
688,70,22.8
688,80,26.1
688,90,29.3
688,110,35.9
688,120,39.1
688,130,42.4
688,140,45.6
688,160,52.2
688,170,55.4
688,180,58.7
688,190,61.9
688,210,68.5
688,220,71.7
688,230,75
688,240,78.2
688,260,84.8
688,270,88
688,280,91.3
688,290,94.5
688,299,97.5
428,0,0.3
428,1,0.3
428,10,3.2
428,290,92.8
428,299,95.7
2067,0,0.3
2067,1,0.3
2067,10,3.3
2067,20,6.5
2067,30,9.8
2067,40,13
2067,60,19.6
2067,70,22.8
2067,80,26.1
2067,90,29.3
2067,110,35.9
2067,120,39.1
2067,130,42.4
2067,140,45.6
2067,160,52.2
2067,170,55.4
2067,180,58.7
2067,190,61.9
2067,210,68.5
2067,220,71.7
2067,230,75
2067,240,78.2
2067,260,84.8
2067,270,88
2067,280,91.3
2067,290,94.5
2067,299,97.5
2400,0,0.3
2400,1,0.3
2400,10,3.2
2400,290,92.8
2400,299,95.7
1449,0,0.3
1449,1,0.3
1449,10,3.2
1449,290,92.8
1449,299,95.7
731,0,0.3
731,1,0.3
731,10,3.3
731,20,6.5
731,30,9.8
731,40,13
731,60,19.6
731,70,22.8
731,80,26.1
731,90,29.3
731,110,35.9
731,120,39.1
731,130,42.4
731,140,45.6
731,160,52.2
731,170,55.4
731,180,58.7
731,190,61.9
731,210,68.5
731,220,71.7
731,230,75
731,240,78.2
731,260,84.8
731,270,88
731,280,91.3
731,290,94.5
731,299,97.5
376,0,0.3
376,1,0.3
376,10,3.2
376,290,92.8
376,299,95.7
858,0,0.3
858,1,0.3
858,10,3.2
858,290,92.8
858,299,95.7
1090,0,0.3
1090,1,0.3
1090,10,3.2
1090,290,92.8
1090,299,95.7
1044,0,0.3
1044,1,0.3
1044,10,3.2
1044,290,92.8
1044,299,95.7
241,0,0.3
241,1,0.3
241,10,3.2
241,290,92.8
241,299,95.7
1785,0,0.4
1785,1,0.4
1785,10,4.1
1785,290,118.9
1785,299,122.6
2087,0,0.4
2087,1,0.4
2087,10,4.1
2087,290,118.9
2087,299,122.6
1256,0,0.4
1256,1,0.4
1256,10,4.1
1256,290,118.9
1256,299,122.6
451,0,0.4
451,1,0.4
451,10,4.1
451,290,118.9
451,299,122.6
1340,0,0.5
1340,1,0.5
1340,10,4.8
1340,20,9.6
1340,30,14.3
1340,70,33.5
1340,80,38.2
1340,120,57.4
1340,130,62.1
1340,170,81.3
1340,180,86
1340,220,105.2
1340,230,109.9
1340,270,129.1
1340,280,133.8
1340,290,138.6
1340,299,142.9
1951,0,0.5
1951,1,0.5
1951,10,4.8
1951,20,9.6
1951,30,14.3
1951,70,33.5
1951,80,38.2
1951,120,57.4
1951,130,62.1
1951,170,81.3
1951,180,86
1951,220,105.2
1951,230,109.9
1951,270,129.1
1951,280,133.8
1951,290,138.6
1951,299,142.9
575,0,0.5
575,1,0.5
575,10,4.8
575,20,9.6
575,30,14.3
575,70,33.5
575,80,38.2
575,120,57.4
575,130,62.1
575,170,81.3
575,180,86
575,220,105.2
575,230,109.9
575,270,129.1
575,280,133.8
575,290,138.6
575,299,142.9
399,0,0.5
399,1,0.5
399,10,4.8
399,20,9.6
399,30,14.3
399,70,33.5
399,80,38.2
399,120,57.4
399,130,62.1
399,170,81.3
399,180,86
399,220,105.2
399,230,109.9
399,270,129.1
399,280,133.8
399,290,138.6
399,299,142.9
794,0,0.5
794,1,0.5
794,10,5.2
794,20,10.4
794,30,15.7
794,70,36.5
794,80,41.8
794,120,62.6
794,130,67.9
794,170,88.7
794,180,94
794,220,114.8
794,230,120.1
794,270,140.9
794,280,146.2
794,290,151.4
794,299,156.1
1994,0,0.5
1994,1,0.5
1994,20,10
1994,30,14.9
1994,70,34.9
1994,80,39.8
1994,120,59.8
1994,130,64.7
1994,170,84.7
1994,180,89.6
1994,220,109.6
1994,230,114.5
1994,270,134.5
1994,280,139.4
1994,299,148.9
635,0,0.5
635,1,0.5
635,20,10
635,30,15.1
635,70,35.1
635,80,40.2
635,120,60.2
635,130,65.3
635,170,85.3
635,180,90.4
635,220,110.4
635,230,115.5
635,270,135.5
635,280,140.6
635,299,150.1
149,0,0.5
149,1,0.5
149,10,5.2
149,20,10.4
149,30,15.7
149,70,36.5
149,80,41.8
149,120,62.6
149,130,67.9
149,170,88.7
149,180,94
149,220,114.8
149,230,120.1
149,270,140.9
149,280,146.2
149,290,151.4
149,299,156.1
88,0,0.4
88,1,0.4
88,10,4.1
88,290,118.9
88,299,122.6
62,0,0.25
12,0,0.2
983,0,0.2
983,1,0.2
983,10,1.9
983,20,3.9
983,30,5.8
983,40,7.8
983,60,11.6
983,70,13.6
983,80,15.5
983,90,17.5
983,110,21.3
983,120,23.3
983,130,25.2
983,140,27.2
983,160,31
983,170,33
983,180,34.9
983,190,36.9
983,210,40.7
983,220,42.7
983,230,44.6
983,240,46.6
983,260,50.4
983,270,52.4
983,280,54.3
983,290,56.3
983,299,58
523,0,0.2
523,1,0.2
523,10,1.7
523,290,49.3
523,299,50.8
10,0,0.1
333,0,0.6
1846,0,0.6
1846,1,0.6
1846,10,5.7
1846,20,11.3
1846,30,17
1846,40,22.6
1846,60,34
1846,70,39.6
1846,80,45.3
1846,90,50.9
1846,110,62.3
1846,120,67.9
1846,130,73.6
1846,140,79.2
1846,160,90.6
1846,170,96.2
1846,180,101.9
1846,190,107.5
1846,210,118.9
1846,220,124.5
1846,230,130.2
1846,240,135.8
1846,260,147.2
1846,270,152.8
1846,280,158.5
1846,290,164.1
1846,299,169.2
1132,0,0.6
1132,1,0.6
1132,10,6.3
1132,20,12.6
1132,30,18.8
1132,70,44
1132,80,50.2
1132,120,75.4
1132,130,81.6
1132,170,106.8
1132,180,113
1132,220,138.2
1132,230,144.4
1132,270,169.6
1132,280,175.8
1132,290,182.1
1132,299,187.8
2539,0,0.6
2539,1,0.6
2539,10,6.3
2539,20,12.6
2539,30,18.8
2539,70,44
2539,80,50.2
2539,120,75.4
2539,130,81.6
2539,170,106.8
2539,180,113
2539,220,138.2
2539,230,144.4
2539,270,169.6
2539,280,175.8
2539,290,182.1
2539,299,187.8
2306,0,0.6
2306,1,0.6
2306,10,6.3
2306,20,12.6
2306,30,18.8
2306,70,44
2306,80,50.2
2306,120,75.4
2306,130,81.6
2306,170,106.8
2306,180,113
2306,220,138.2
2306,230,144.4
2306,270,169.6
2306,280,175.8
2306,290,182.1
2306,299,187.8
245,0,0.6
245,1,0.6
245,10,6.3
245,20,12.6
245,30,18.8
245,70,44
245,80,50.2
245,120,75.4
245,130,81.6
245,170,106.8
245,180,113
245,220,138.2
245,230,144.4
245,270,169.6
245,280,175.8
245,290,182.1
245,299,187.8
101,0,0.7
1575,0,0.7
1575,1,0.7
1575,10,6.5
1575,20,13.1
1575,30,19.6
1575,40,26.2
1575,60,39.2
1575,70,45.8
1575,80,52.3
1575,90,58.9
1575,110,71.9
1575,120,78.5
1575,130,85
1575,140,91.6
1575,160,104.6
1575,170,111.2
1575,180,117.7
1575,190,124.3
1575,210,137.3
1575,220,143.9
1575,230,150.4
1575,240,157
1575,260,170
1575,270,176.6
1575,280,183.1
1575,290,189.7
1575,299,195.5
1530,0,0.7
1530,1,0.7
1530,10,7.1
1530,20,14.3
1530,30,21.4
1530,40,28.6
1530,60,42.8
1530,70,50
1530,80,57.1
1530,90,64.3
1530,110,78.5
1530,120,85.7
1530,130,92.8
1530,140,100
1530,160,114.2
1530,170,121.4
1530,180,128.5
1530,190,135.7
1530,210,149.9
1530,220,157.1
1530,230,164.2
1530,240,171.4
1530,260,185.6
1530,270,192.8
1530,280,199.9
1530,290,207.1
1530,299,213.5
61,0,0.6
2262,0,0.6
2262,1,0.6
2262,10,5.7
2262,20,11.3
2262,30,17
2262,40,22.6
2262,60,34
2262,70,39.6
2262,80,45.3
2262,90,50.9
2262,110,62.3
2262,120,67.9
2262,130,73.6
2262,140,79.2
2262,160,90.6
2262,170,96.2
2262,180,101.9
2262,190,107.5
2262,210,118.9
2262,220,124.5
2262,230,130.2
2262,240,135.8
2262,260,147.2
2262,270,152.8
2262,280,158.5
2262,290,164.1
2262,299,169.2
1360,0,0.6
1360,1,0.6
1360,10,6.3
1360,20,12.6
1360,30,18.8
1360,70,44
1360,80,50.2
1360,120,75.4
1360,130,81.6
1360,170,106.8
1360,180,113
1360,220,138.2
1360,230,144.4
1360,270,169.6
1360,280,175.8
1360,290,182.1
1360,299,187.8
988,0,0.6
988,1,0.6
988,10,6.3
988,20,12.6
988,30,18.8
988,70,44
988,80,50.2
988,120,75.4
988,130,81.6
988,170,106.8
988,180,113
988,220,138.2
988,230,144.4
988,270,169.6
988,280,175.8
988,290,182.1
988,299,187.8
2328,0,0.6
2328,1,0.6
2328,10,6.3
2328,20,12.6
2328,30,18.8
2328,70,44
2328,80,50.2
2328,120,75.4
2328,130,81.6
2328,170,106.8
2328,180,113
2328,220,138.2
2328,230,144.4
2328,270,169.6
2328,280,175.8
2328,290,182.1
2328,299,187.8
757,0,0.6
757,1,0.6
757,10,6.3
757,20,12.6
757,30,18.8
757,70,44
757,80,50.2
757,120,75.4
757,130,81.6
757,170,106.8
757,180,113
757,220,138.2
757,230,144.4
757,270,169.6
757,280,175.8
757,290,182.1
757,299,187.8
1662,0,0.6
1662,1,0.6
1662,10,6.3
1662,20,12.6
1662,30,18.8
1662,70,44
1662,80,50.2
1662,120,75.4
1662,130,81.6
1662,170,106.8
1662,180,113
1662,220,138.2
1662,230,144.4
1662,270,169.6
1662,280,175.8
1662,290,182.1
1662,299,187.8
2202,0,0.6
2202,1,0.6
2202,10,6.3
2202,20,12.6
2202,30,18.8
2202,70,44
2202,80,50.2
2202,120,75.4
2202,130,81.6
2202,170,106.8
2202,180,113
2202,220,138.2
2202,230,144.4
2202,270,169.6
2202,280,175.8
2202,290,182.1
2202,299,187.8
1305,0,0.6
1305,1,0.6
1305,10,6.3
1305,20,12.6
1305,30,18.8
1305,70,44
1305,80,50.2
1305,120,75.4
1305,130,81.6
1305,170,106.8
1305,180,113
1305,220,138.2
1305,230,144.4
1305,270,169.6
1305,280,175.8
1305,290,182.1
1305,299,187.8
2015,0,0.6
2015,1,0.6
2015,10,6.3
2015,20,12.6
2015,30,18.8
2015,70,44
2015,80,50.2
2015,120,75.4
2015,130,81.6
2015,170,106.8
2015,180,113
2015,220,138.2
2015,230,144.4
2015,270,169.6
2015,280,175.8
2015,290,182.1
2015,299,187.8
1492,0,0.6
1492,1,0.6
1492,10,6.3
1492,20,12.6
1492,30,18.8
1492,70,44
1492,80,50.2
1492,120,75.4
1492,130,81.6
1492,170,106.8
1492,180,113
1492,220,138.2
1492,230,144.4
1492,270,169.6
1492,280,175.8
1492,290,182.1
1492,299,187.8
1322,0,0.6
1322,1,0.6
1322,10,6.3
1322,20,12.6
1322,30,18.8
1322,70,44
1322,80,50.2
1322,120,75.4
1322,130,81.6
1322,170,106.8
1322,180,113
1322,220,138.2
1322,230,144.4
1322,270,169.6
1322,280,175.8
1322,290,182.1
1322,299,187.8
613,0,0.6
613,1,0.6
613,10,6.3
613,20,12.6
613,30,18.8
613,70,44
613,80,50.2
613,120,75.4
613,130,81.6
613,170,106.8
613,180,113
613,220,138.2
613,230,144.4
613,270,169.6
613,280,175.8
613,290,182.1
613,299,187.8
1259,0,0.6
1259,1,0.6
1259,10,6.3
1259,20,12.6
1259,30,18.8
1259,70,44
1259,80,50.2
1259,120,75.4
1259,130,81.6
1259,170,106.8
1259,180,113
1259,220,138.2
1259,230,144.4
1259,270,169.6
1259,280,175.8
1259,290,182.1
1259,299,187.8
1553,0,0.6
1553,1,0.6
1553,10,6.3
1553,20,12.6
1553,30,18.8
1553,70,44
1553,80,50.2
1553,120,75.4
1553,130,81.6
1553,170,106.8
1553,180,113
1553,220,138.2
1553,230,144.4
1553,270,169.6
1553,280,175.8
1553,290,182.1
1553,299,187.8
2458,0,0.6
2458,1,0.6
2458,10,6.3
2458,20,12.6
2458,30,18.8
2458,70,44
2458,80,50.2
2458,120,75.4
2458,130,81.6
2458,170,106.8
2458,180,113
2458,220,138.2
2458,230,144.4
2458,270,169.6
2458,280,175.8
2458,290,182.1
2458,299,187.8
1004,0,0.6
1004,1,0.6
1004,10,6.3
1004,20,12.6
1004,30,18.8
1004,70,44
1004,80,50.2
1004,120,75.4
1004,130,81.6
1004,170,106.8
1004,180,113
1004,220,138.2
1004,230,144.4
1004,270,169.6
1004,280,175.8
1004,290,182.1
1004,299,187.8
486,0,0.6
486,1,0.6
486,10,6.3
486,20,12.6
486,30,18.8
486,70,44
486,80,50.2
486,120,75.4
486,130,81.6
486,170,106.8
486,180,113
486,220,138.2
486,230,144.4
486,270,169.6
486,280,175.8
486,290,182.1
486,299,187.8
196,0,0.7
1641,0,0.7
1641,1,0.7
1641,10,7.1
1641,20,14.3
1641,30,21.4
1641,40,28.6
1641,60,42.8
1641,70,50
1641,80,57.1
1641,90,64.3
1641,110,78.5
1641,120,85.7
1641,130,92.8
1641,140,100
1641,160,114.2
1641,170,121.4
1641,180,128.5
1641,190,135.7
1641,210,149.9
1641,220,157.1
1641,230,164.2
1641,240,171.4
1641,260,185.6
1641,270,192.8
1641,280,199.9
1641,290,207.1
1641,299,213.5
18,0,1
26,0,1
26,5,1
26,6,0
11,0,0.7
1927,0,0.7
1927,1,0.7
1927,10,7.1
1927,20,14.3
1927,30,21.4
1927,40,28.6
1927,60,42.8
1927,70,50
1927,80,57.1
1927,90,64.3
1927,110,78.5
1927,120,85.7
1927,130,92.8
1927,140,100
1927,160,114.2
1927,170,121.4
1927,180,128.5
1927,190,135.7
1927,210,149.9
1927,220,157.1
1927,230,164.2
1927,240,171.4
1927,260,185.6
1927,270,192.8
1927,280,199.9
1927,290,207.1
1927,299,213.5
1744,0,0.7
1744,1,0.7
1744,10,7.1
1744,20,14.3
1744,30,21.4
1744,40,28.6
1744,60,42.8
1744,70,50
1744,80,57.1
1744,90,64.3
1744,110,78.5
1744,120,85.7
1744,130,92.8
1744,140,100
1744,160,114.2
1744,170,121.4
1744,180,128.5
1744,190,135.7
1744,210,149.9
1744,220,157.1
1744,230,164.2
1744,240,171.4
1744,260,185.6
1744,270,192.8
1744,280,199.9
1744,290,207.1
1744,299,213.5
1381,0,0.7
1381,1,0.7
1381,10,7.1
1381,20,14.3
1381,30,21.4
1381,40,28.6
1381,60,42.8
1381,70,50
1381,80,57.1
1381,90,64.3
1381,110,78.5
1381,120,85.7
1381,130,92.8
1381,140,100
1381,160,114.2
1381,170,121.4
1381,180,128.5
1381,190,135.7
1381,210,149.9
1381,220,157.1
1381,230,164.2
1381,240,171.4
1381,260,185.6
1381,270,192.8
1381,280,199.9
1381,290,207.1
1381,299,213.5
2415,0,0.7
2415,1,0.7
2415,10,7.1
2415,20,14.3
2415,30,21.4
2415,40,28.6
2415,60,42.8
2415,70,50
2415,80,57.1
2415,90,64.3
2415,110,78.5
2415,120,85.7
2415,130,92.8
2415,140,100
2415,160,114.2
2415,170,121.4
2415,180,128.5
2415,190,135.7
2415,210,149.9
2415,220,157.1
2415,230,164.2
2415,240,171.4
2415,260,185.6
2415,270,192.8
2415,280,199.9
2415,290,207.1
2415,299,213.5
475,0,0.7
475,1,0.7
475,10,7.1
475,20,14.3
475,30,21.4
475,40,28.6
475,60,42.8
475,70,50
475,80,57.1
475,90,64.3
475,110,78.5
475,120,85.7
475,130,92.8
475,140,100
475,160,114.2
475,170,121.4
475,180,128.5
475,190,135.7
475,210,149.9
475,220,157.1
475,230,164.2
475,240,171.4
475,260,185.6
475,270,192.8
475,280,199.9
475,290,207.1
475,299,213.5
2519,0,0.7
2519,1,0.7
2519,10,6.5
2519,20,13.1
2519,30,19.6
2519,40,26.2
2519,60,39.2
2519,70,45.8
2519,80,52.3
2519,90,58.9
2519,110,71.9
2519,120,78.5
2519,130,85
2519,140,91.6
2519,160,104.6
2519,170,111.2
2519,180,117.7
2519,190,124.3
2519,210,137.3
2519,220,143.9
2519,230,150.4
2519,240,157
2519,260,170
2519,270,176.6
2519,280,183.1
2519,290,189.7
2519,299,195.5
1066,0,0.7
1066,1,0.7
1066,10,6.5
1066,20,13.1
1066,30,19.6
1066,40,26.2
1066,60,39.2
1066,70,45.8
1066,80,52.3
1066,90,58.9
1066,110,71.9
1066,120,78.5
1066,130,85
1066,140,91.6
1066,160,104.6
1066,170,111.2
1066,180,117.7
1066,190,124.3
1066,210,137.3
1066,220,143.9
1066,230,150.4
1066,240,157
1066,260,170
1066,270,176.6
1066,280,183.1
1066,290,189.7
1066,299,195.5
2284,0,0.7
2284,1,0.7
2284,10,6.5
2284,20,13.1
2284,30,19.6
2284,40,26.2
2284,60,39.2
2284,70,45.8
2284,80,52.3
2284,90,58.9
2284,110,71.9
2284,120,78.5
2284,130,85
2284,140,91.6
2284,160,104.6
2284,170,111.2
2284,180,117.7
2284,190,124.3
2284,210,137.3
2284,220,143.9
2284,230,150.4
2284,240,157
2284,260,170
2284,270,176.6
2284,280,183.1
2284,290,189.7
2284,299,195.5
1404,0,0.7
1404,1,0.7
1404,10,6.5
1404,20,13.1
1404,30,19.6
1404,40,26.2
1404,60,39.2
1404,70,45.8
1404,80,52.3
1404,90,58.9
1404,110,71.9
1404,120,78.5
1404,130,85
1404,140,91.6
1404,160,104.6
1404,170,111.2
1404,180,117.7
1404,190,124.3
1404,210,137.3
1404,220,143.9
1404,230,150.4
1404,240,157
1404,260,170
1404,270,176.6
1404,280,183.1
1404,290,189.7
1404,299,195.5
2242,0,0.7
2242,1,0.7
2242,10,6.5
2242,20,13.1
2242,30,19.6
2242,40,26.2
2242,60,39.2
2242,70,45.8
2242,80,52.3
2242,90,58.9
2242,110,71.9
2242,120,78.5
2242,130,85
2242,140,91.6
2242,160,104.6
2242,170,111.2
2242,180,117.7
2242,190,124.3
2242,210,137.3
2242,220,143.9
2242,230,150.4
2242,240,157
2242,260,170
2242,270,176.6
2242,280,183.1
2242,290,189.7
2242,299,195.5
324,0,0.7
324,1,0.7
324,10,6.5
324,20,13.1
324,30,19.6
324,40,26.2
324,60,39.2
324,70,45.8
324,80,52.3
324,90,58.9
324,110,71.9
324,120,78.5
324,130,85
324,140,91.6
324,160,104.6
324,170,111.2
324,180,117.7
324,190,124.3
324,210,137.3
324,220,143.9
324,230,150.4
324,240,157
324,260,170
324,270,176.6
324,280,183.1
324,290,189.7
324,299,195.5
290,0,0.7
290,1,0.7
290,10,6.5
290,20,13.1
290,30,19.6
290,40,26.2
290,60,39.2
290,70,45.8
290,80,52.3
290,90,58.9
290,110,71.9
290,120,78.5
290,130,85
290,140,91.6
290,160,104.6
290,170,111.2
290,180,117.7
290,190,124.3
290,210,137.3
290,220,143.9
290,230,150.4
290,240,157
290,260,170
290,270,176.6
290,280,183.1
290,290,189.7
290,299,195.5
2140,0,0.5
2140,1,0.5
2140,10,4.8
2140,20,9.6
2140,30,14.3
2140,70,33.5
2140,80,38.2
2140,120,57.4
2140,130,62.1
2140,170,81.3
2140,180,86
2140,220,105.2
2140,230,109.9
2140,270,129.1
2140,280,133.8
2140,290,138.6
2140,299,142.9
1843,0,0.5
1843,1,0.5
1843,10,4.8
1843,20,9.6
1843,30,14.3
1843,70,33.5
1843,80,38.2
1843,120,57.4
1843,130,62.1
1843,170,81.3
1843,180,86
1843,220,105.2
1843,230,109.9
1843,270,129.1
1843,280,133.8
1843,290,138.6
1843,299,142.9
1112,0,0.5
1112,1,0.5
1112,10,4.8
1112,20,9.6
1112,30,14.3
1112,70,33.5
1112,80,38.2
1112,120,57.4
1112,130,62.1
1112,170,81.3
1112,180,86
1112,220,105.2
1112,230,109.9
1112,270,129.1
1112,280,133.8
1112,290,138.6
1112,299,142.9
2163,0,0.5
2163,1,0.5
2163,10,4.8
2163,20,9.6
2163,30,14.3
2163,70,33.5
2163,80,38.2
2163,120,57.4
2163,130,62.1
2163,170,81.3
2163,180,86
2163,220,105.2
2163,230,109.9
2163,270,129.1
2163,280,133.8
2163,290,138.6
2163,299,142.9
2438,0,0.5
2438,1,0.5
2438,10,4.8
2438,20,9.6
2438,30,14.3
2438,70,33.5
2438,80,38.2
2438,120,57.4
2438,130,62.1
2438,170,81.3
2438,180,86
2438,220,105.2
2438,230,109.9
2438,270,129.1
2438,280,133.8
2438,290,138.6
2438,299,142.9
1974,0,0.5
1974,1,0.5
1974,10,4.8
1974,20,9.6
1974,30,14.3
1974,70,33.5
1974,80,38.2
1974,120,57.4
1974,130,62.1
1974,170,81.3
1974,180,86
1974,220,105.2
