CURVE,X,Y
211,0,0.1
272,0,0.13
450,0,0.17
443,0,0.17
172,0,0.15
320,0,0.19
210,0,0.2
141,0,0.18
50,0,0.15
25,0,0.1
365,0,0.21
354,0,0.21
441,0,0.23
299,0,0.23
440,0,0.26
364,0,0.28
458,0,0.32
453,0,0.32
449,0,0.34
442,0,0.34
421,0,0.3
416,0,0.3
353,0,0.28
195,0,0.39
352,0,0.51
131,0,0.4
52,0,0.25
452,0,0.68
196,0,0.61
173,0,0.6
51,0,0.6
27,0,0.2
11,0,0.2
300,0,0.77
261,0,0.8
89,0,0.7
321,0,0.81
399,0,0.85
394,0,0.85
273,0,0.87
149,0,0.82
142,0,0.82
77,0,0.8
26,0,0.7
10,0,0.7
9,0,0.1
75,9,0
76,9,0
76,10,1
76,11,0
241,79,0
407,79,0
407,80,0.15
290,79,0
290,80,0.13
243,79,0
243,80,0.1
316,79,0
316,80,0.23
408,79,0
408,80,0.85
317,79,0
317,80,0.77
318,79,0
318,80,1
313,79,0
313,80,1
313,100,1
313,101,0
291,79,0
291,80,0.87
244,79,0
244,80,0.7
242,79,0
242,80,0.2
245,79,0
245,80,1
238,79,0
238,80,1
238,100,1
238,101,0
406,79,0
406,80,30.9
406,90,32.4
406,100,34
406,110,35.4
406,120,36.7
406,140,39.1
485,79,0
485,80,35.1
485,90,37.2
485,100,39.4
413,79,0
413,80,50.4
413,90,57.5
413,100,64.2
413,110,70.2
413,120,75.7
413,130,80.9
413,140,85.6
296,79,0
296,80,58.1
296,90,66.3
296,100,73.8
296,110,80.7
296,120,87.1
296,130,92.9
287,79,0
287,80,31.9
287,100,35.3
287,120,38.3
287,130,39.7
237,79,0
237,80,30.9
237,110,35.4
237,120,36.7
237,140,39.1
492,79,0
492,80,91.8
492,90,104.1
492,100,116
412,79,0
412,80,100.8
412,90,115
412,100,128.4
412,110,140.4
412,120,151.5
412,130,161.7
412,140,171.2
295,79,0
295,80,116.2
295,90,132.7
295,100,147.6
295,110,161.3
295,120,174.1
295,130,185.7
403,79,0
403,80,75.6
403,90,86.2
403,100,96.3
403,110,105.3
403,120,113.6
403,130,121.3
403,140,128.4
284,79,0
284,80,75.6
284,90,86.2
284,100,95.9
284,110,104.8
284,120,113.2
284,130,120.7
234,79,0
234,80,60.4
234,90,68.8
234,100,76.9
234,110,84
234,120,90.7
234,130,96.8
234,140,102.5
491,79,0
491,80,183.6
491,90,208.2
491,100,232
483,79,0
483,80,211.1
483,90,239.5
483,100,266.8
414,79,0
414,80,353
414,90,402.4
414,100,449.6
414,110,491.2
414,120,530.2
414,130,565.9
414,140,599.1
310,79,0
310,80,138.9
310,90,158.3
310,100,176.8
310,110,193.3
310,120,208.6
310,130,222.7
310,140,235.7
297,79,0
297,80,406.9
297,90,464.4
297,100,516.5
297,110,564.5
297,120,609.5
297,130,650
404,79,0
404,80,428.6
404,90,488.7
404,100,545.9
404,110,596.5
404,120,643.8
404,130,687.2
404,140,727.5
405,79,0
405,80,504.2
405,90,574.9
405,100,642.2
405,110,701.8
405,120,757.4
405,130,808.5
405,140,855.9
311,79,0
311,80,464.9
311,90,530
311,100,592.1
311,110,647.1
311,120,698.3
311,130,745.4
311,140,789.2
286,79,0
286,80,581.2
286,90,663.4
286,100,737.9
286,110,806.5
286,120,870.7
286,130,928.6
285,79,0
285,80,505.6
285,90,577.2
285,100,642
285,110,701.7
285,120,757.5
285,130,807.9
493,79,0
493,80,642.4
493,90,728.8
493,100,811.9
484,79,0
484,80,917.8
484,90,1041.1
484,100,1159.9
482,79,0
482,80,706.7
482,90,801.6
482,100,893.1
487,79,0
487,101,0
